gene h2 se p
C1QTNF6 0.545677 0.039667 0
LILRA3 0.545248 0.036237 0
MUC20 0.544711 0.042107 0
KRT73 0.544486 0.041085 0
SLC18A1 0.544381 0.039321 0
EMR2 0.544336 0.039341 0
ATP6V0E2 0.543888 0.040662 0
ZNF132 0.543294 0.047275 0
CAST 0.543107 0.040990 0
LCLAT1 0.542381 0.037975 0
CENPK 0.542378 0.040885 0
SNX19 0.541868 0.037532 0
C1orf105 0.541743 0.040875 0
LGALS9 0.541612 0.049439 0
TMEM51 0.541001 0.039075 0
PHLDB3 0.540342 0.045532 0
SFXN2 0.539997 0.054922 0
FOXRED1 0.539903 0.037224 0
C1QTNF4 0.539759 0.064323 0
BBS2 0.539584 0.038425 0
SLC24A4 0.539033 0.043728 0
TAP2 0.539000 0.047981 0
NME4 0.538774 0.042541 0
HLA-B 0.538673 0.048433 0
SKAP2 0.537865 0.041873 0
NUDT18 0.537815 0.038178 0
MGST3 0.537085 0.038698 0
VPS53 0.536905 0.037165 0
RAD52 0.535967 0.038077 0
EPHB4 0.535761 0.047155 0
ATG10 0.535563 0.041050 0
HBZ 0.535417 0.042215 0
HSBP1L1 0.535349 0.051988 0
SAMD12 0.534813 0.040529 0
STEAP4 0.533977 0.044514 0
CCDC3 0.533951 0.040341 0
DBF4B 0.533465 0.044833 0
FAM3D 0.533302 0.044489 0
INPP5B 0.532763 0.040519 0
MARK4 0.532641 0.039329 0
UNC5B 0.532605 0.039803 0
NCAPG2 0.532411 0.049466 0
STEAP3 0.531944 0.044706 0
RSU1 0.531106 0.040156 0
RFPL4A 0.530296 0.040534 0
RPH3A 0.529782 0.042257 0
ANXA5 0.529108 0.042657 0
ADPRH 0.528888 0.053466 0
FAM55C 0.528130 0.048709 0
TRMT12 0.527963 0.038776 0
MYCBPAP 0.527867 0.039608 0
RAPGEFL1 0.527629 0.044795 0
OSCAR 0.526673 0.037541 0
MAPK8IP1 0.526544 0.043249 0
GSDMB 0.526386 0.045304 0
CLIP3 0.525959 0.045128 0
ZNF429 0.525796 0.050102 0
SIGLEC11 0.525588 0.039464 0
GLB1L 0.525559 0.043208 0
KIAA1530 0.525051 0.049506 0
HPCAL4 0.524572 0.044046 0
DUS3L 0.524541 0.036645 0
SEPT6 0.524480 0.043155 0
CYBRD1 0.524480 0.043155 0
COL6A2 0.524301 0.047484 0
C11orf75 0.524142 0.046300 0
TBC1D9B 0.523413 0.044546 0
ROGDI 0.523405 0.043818 0
UPK3A 0.523161 0.041068 0
HSD17B12 0.523029 0.038555 0
NMNAT3 0.522044 0.042834 0
NBL1 0.521772 0.039870 0
BIRC7 0.521379 0.037999 0
UBE2D1 0.520743 0.045800 0
RAB39B 0.520743 0.045800 0
SEMA4A 0.520401 0.045955 0
TMPRSS3 0.520242 0.043250 0
TMTC4 0.519892 0.038794 0
OLFM4 0.519675 0.051513 0
MOCS1 0.519320 0.041121 0
CARD14 0.519320 0.039567 0
TMEM98 0.519009 0.040355 0
RNASEH2B 0.518924 0.046403 0
BOLA1 0.518869 0.079996 8.715e-15
LRWD1 0.518859 0.045318 0
HSD17B13 0.518720 0.048439 0
CTSF 0.518693 0.056608 0
HLA-G 0.518580 0.063340 0
WDR41 0.517986 0.041703 0
PDZD8 0.517828 0.039574 0
C14orf132 0.517319 0.038840 0
P2RX4 0.516977 0.047886 0
CHI3L1 0.516501 0.040459 0
SUMF1 0.516158 0.039223 0
SLC25A41 0.515694 0.037017 0
AMH 0.515592 0.036772 0
DSP 0.515430 0.038294 0
CYP4F2 0.515132 0.041196 0
HCG27 0.514908 0.051022 0
MED19 0.514769 0.056995 0
AATK 0.514543 0.043634 0
FPR2 0.514538 0.041387 0
WDR25 0.514121 0.037948 0
STYXL1 0.513815 0.046625 0
ITIH4 0.513695 0.049551 0
CCR3 0.513693 0.048794 0
TAGLN 0.512041 0.039368 0
MT1E 0.512010 0.042067 0
KLKB1 0.511907 0.039119 0
TMEM91 0.511606 0.046848 0
MGST2 0.510980 0.042306 0
RPRM 0.510755 0.045759 0
CNR1 0.510415 0.043968 0
GPX7 0.509405 0.045934 0
TBC1D16 0.509150 0.038071 0
BAIAP3 0.509006 0.044370 0
PILRB 0.508553 0.053011 0
IL18RAP 0.508445 0.044308 0
DDO 0.508128 0.045843 0
ANPEP 0.507691 0.043390 0
FAIM2 0.507631 0.051683 0
ANKH 0.507551 0.045402 0
CTSK 0.507078 0.051981 0
COL11A2 0.506432 0.049343 0
NOTCH2NL 0.506168 0.082835 0
MON1B 0.505486 0.040744 0
MTG1 0.505191 0.045907 0
GPR35 0.504430 0.042196 0
CES1 0.504296 0.046154 0
FAN1 0.504015 0.044685 0
SELL 0.503630 0.046248 0
SLC41A3 0.503352 0.042094 0
GDPD5 0.503338 0.044472 0
HOXB2 0.503301 0.045546 0
CD55 0.502787 0.041457 0
C2orf62 0.502598 0.045194 0
C20orf27 0.502021 0.046139 0
KCNN4 0.501664 0.047823 0
SLC6A8 0.501144 0.048162 0
C8orf31 0.501144 0.048162 0
PXDN 0.500780 0.040232 0
SERPINF2 0.500702 0.038345 0
HAS1 0.500696 0.039171 0
SLC39A4 0.500171 0.053776 0
CTXN2 0.499829 0.044338 0
C1orf212 0.499261 0.046813 0
XCL2 0.499053 0.041149 0
TRIT1 0.499015 0.045160 0
PTGR2 0.498809 0.054934 0
SARS2 0.498482 0.040325 0
ITGB2 0.498245 0.042198 0
DKK3 0.497527 0.044428 0
ATPAF2 0.497435 0.052291 0
MCHR1 0.497082 0.057524 0
FCGR2B 0.497048 0.045690 0
CAND2 0.496445 0.044412 0
RRP7A 0.495642 0.046442 0
TMEM204 0.495623 0.041574 0
CORIN 0.495354 0.047725 0
CHI3L2 0.495094 0.042550 0
RIN1 0.494695 0.053766 0
CLN6 0.494509 0.043887 0
HKDC1 0.494094 0.044705 0
LDLRAP1 0.493949 0.043526 0
FGFR2 0.493643 0.039344 0
ATP6AP1L 0.493497 0.042541 0
TSPAN16 0.492863 0.044323 0
DISP2 0.492666 0.046227 0
QSOX1 0.492048 0.048052 0
RETSAT 0.491930 0.045830 0
SPTBN5 0.491163 0.050485 0
C7orf25 0.491121 0.040543 0
UBQLNL 0.490703 0.043691 0
SLC11A1 0.490580 0.047370 0
HEATR6 0.490447 0.059234 0
GNLY 0.489464 0.047064 0
CPT1B 0.488770 0.045589 0
SCD5 0.487509 0.042533 0
KIAA1683 0.487507 0.042179 0
RPH3AL 0.487128 0.041362 0
TCP11L1 0.486743 0.041988 0
CHGB 0.486704 0.040060 0
TMEM164 0.486459 0.043095 0
CELSR1 0.486459 0.043095 0
ZNF354A 0.486157 0.041680 0
NMRAL1 0.484945 0.040476 0
ATP9A 0.484419 0.043812 0
HYAL3 0.483973 0.067023 0
RGPD4 0.482911 0.045487 0
COG5 0.482645 0.041569 0
TNFRSF10B 0.482314 0.041277 0
CAPN11 0.482309 0.043793 0
SH3BP1 0.482261 0.046210 0
LRRC56 0.481724 0.045346 0
RDH5 0.481713 0.051727 0
TNNT1 0.481606 0.039375 0
B3GNT3 0.480887 0.044861 0
DCXR 0.480815 0.044392 0
ASGR2 0.480809 0.044018 0
SMTNL1 0.480439 0.052074 0
ANKK1 0.480314 0.043795 0
BAIAP2 0.480138 0.044971 0
TAS2R60 0.480025 0.050069 0
EIF6 0.480024 0.071797 0
PIGA 0.479810 0.051788 0
DIP2B 0.479810 0.051788 0
VWDE 0.479761 0.045455 0
SLC39A9 0.479642 0.047279 0
BMP1 0.479526 0.041198 0
PCP2 0.479408 0.038373 0
PITRM1 0.479329 0.041205 0
ZNF320 0.479134 0.042535 0
KRT1 0.478925 0.042066 0
ENOX2 0.478925 0.042066 0
OSGIN1 0.478042 0.040360 0
PSMB11 0.477145 0.041263 0
LAPTM4B 0.476885 0.046588 0
TMX4 0.476233 0.043781 0
CYP4V2 0.476178 0.040905 0
IGFBP2 0.476145 0.044702 0
ANXA6 0.476098 0.042700 0
CATSPERG 0.475991 0.046788 0
HSD17B11 0.475406 0.050499 0
NLRP2 0.475330 0.039435 0
ISCA2 0.475303 0.043582 0
WLS 0.474270 0.046854 0
MYBL2 0.474074 0.040489 0
MYBPH 0.473948 0.041295 0
LHPP 0.473898 0.042279 0
BCOR 0.473898 0.042279 0
AVPR2 0.473898 0.042279 0
ST6GALNAC2 0.473877 0.042448 0
WRB 0.473492 0.040969 0
CYTL1 0.473421 0.041668 0
C7orf29 0.473170 0.043611 0
C10orf128 0.472850 0.050404 0
ATP2C2 0.472795 0.043897 0
ZNF396 0.472650 0.048309 0
GTF2H4 0.472580 0.058094 0
HIST1H2BD 0.472083 0.052535 0
BMX 0.472083 0.052535 0
FBXW8 0.471531 0.042026 0
PKP4 0.471420 0.045352 0
NLE1 0.471361 0.041215 0
KIAA1598 0.471183 0.039272 0
ALOX15 0.471148 0.042812 0
PTPRM 0.471059 0.042532 0
C9orf46 0.470696 0.043406 0
PPP2R3C 0.470314 0.044398 0
SLC44A5 0.470073 0.045712 0
RDH13 0.470073 0.038359 0
ECM1 0.469977 0.061225 0
PI16 0.469755 0.042714 0
LRRC61 0.469690 0.042062 0
ADCY9 0.469332 0.043366 0
ATP1B1 0.469092 0.046445 0
TMEM45B 0.468443 0.041760 0
RPS6KA4 0.468134 0.049763 0
ITPR3 0.468063 0.045296 0
VNN2 0.467950 0.042143 0
C14orf159 0.467752 0.045196 0
ZNF215 0.467644 0.040796 0
HSPBAP1 0.467494 0.044917 0
RNASE4 0.467335 0.042779 0
PMM2 0.466824 0.041343 0
ZNF605 0.466571 0.056189 0
ORM1 0.466414 0.042007 0
CRISPLD2 0.466023 0.042209 0
SEC14L3 0.465838 0.048841 0
TMEM92 0.465701 0.041777 0
GIT1 0.465502 0.057051 0
LEPROT 0.465276 0.045456 0
FLVCR1 0.464969 0.043034 0
RCVRN 0.464912 0.037881 0
SAMM50 0.464569 0.039428 0
ZFP90 0.464054 0.052045 0
LGALS9C 0.463880 0.057606 0
BEX1 0.463880 0.057606 0
TCTN2 0.463619 0.049247 0
ZNF623 0.463007 0.048682 0
PKNOX1 0.462769 0.045623 0
POLR1A 0.462254 0.051406 0
WWOX 0.462011 0.042895 0
ME3 0.461957 0.046378 0
SIDT2 0.461895 0.039350 0
GNMT 0.461857 0.041095 0
ATHL1 0.461499 0.045777 0
KCNMA1 0.461463 0.040382 0
CDC16 0.461232 0.049499 0
TRAP1 0.461044 0.043336 0
ACVR2B 0.460786 0.045159 0
POGLUT1 0.460490 0.046684 0
CENPBD1 0.460343 0.057145 0
ABAT 0.460280 0.046057 0
PPP1R3G 0.460222 0.043650 0
C11orf21 0.460071 0.039639 0
BTBD9 0.459750 0.042714 0
PEX11G 0.459738 0.039668 0
S100A13 0.459364 0.051802 0
SLC17A3 0.459049 0.051080 0
NPIP 0.459029 0.048802 0
ANKRD5 0.458848 0.041060 0
CYB5R2 0.458559 0.044014 0
CORO2A 0.458506 0.046592 0
SPATA5L1 0.457730 0.046309 0
TBKBP1 0.457699 0.050125 0
TPM2 0.457434 0.047586 0
ADORA1 0.457390 0.039857 0
C2orf43 0.457049 0.041716 0
DAPK1 0.456988 0.042353 0
UTS2 0.456813 0.041946 0
SERINC2 0.456291 0.047515 0
BET1L 0.456117 0.044054 0
ADRB1 0.456066 0.048192 0
ZDHHC4 0.455899 0.048241 0
IL15RA 0.455513 0.041839 0
POLR2J2 0.455394 0.052453 0
AHI1 0.455321 0.044093 0
FPR1 0.455304 0.043296 0
TUFM 0.454691 0.052258 0
HLA-F 0.454231 0.055867 0
