gene local.h2 local.se global.h2 global.se
AGA 0.780265 0.024081 0.109105 0.093588
NEBL 0.781841 0.027163 0.096338 0.087512
TMEM176A 0.777011 0.023786 0.204162 0.106075
SLC22A16 0.775216 0.027296 0.031784 0.086077
NT5C3L 0.764573 0.028808 0.235425 0.103322
C2orf63 0.739628 0.031197 0.000001 0.120356
SCGB3A1 0.773450 0.023776 0.138534 0.092691
CBR1 0.770634 0.026113 0.167701 0.101622
ZFP57 0.738177 0.034919 0.261822 0.122257
GLT25D2 0.768931 0.026818 0.000001 0.095835
TMEM176B 0.727670 0.028366 0.272329 0.131771
NR2F6 0.767508 0.024116 0.018144 0.111621
GSDMA 0.770232 0.029051 0.191383 0.102230
RNPEP 0.764439 0.023772 0.039678 0.120144
TREML4 0.672461 0.029121 0.000002 0.164410
MYH11 0.754439 0.029235 0.245560 0.099253
TMTC1 0.760849 0.026119 0.072119 0.109047
NAPRT1 0.715735 0.031765 0.000001 0.123401
CLEC12B 0.758623 0.026050 0.109127 0.090684
ZNF155 0.743383 0.028623 0.000001 0.115458
MFN2 0.755403 0.026356 0.131560 0.101463
NBPF3 0.753672 0.025090 0.177002 0.113547
COL9A3 0.755733 0.025740 0.230413 0.116279
C15orf38 0.754616 0.026082 0.060647 0.109167
CSTF2 0.754616 0.026082 0.060647 0.109167
BTNL8 0.755718 0.026255 0.171378 0.099223
C22orf34 0.752820 0.023946 0.082485 0.115600
ENC1 0.752654 0.024905 0.174159 0.098080
XRRA1 0.749897 0.027999 0.072342 0.082577
CEACAM21 0.745704 0.028600 0.000001 0.098928
SLC9A3 0.747883 0.027342 0.115406 0.096478
ACP6 0.748591 0.036316 0.032345 0.087082
NKX3-1 0.747191 0.025053 0.086103 0.115834
PLA2G16 0.743929 0.030134 0.077979 0.106300
A4GALT 0.742984 0.027712 0.106331 0.118306
SIRPB1 0.741803 0.024381 0.216038 0.139711
S100P 0.556781 0.037942 0.000001 0.244346
NQO2 0.743258 0.025569 0.167644 0.099947
FBXO2 0.740690 0.026979 0.191267 0.116789
NDE1 0.739844 0.032780 0.128528 0.095610
VARS2 0.736908 0.030465 0.062930 0.099751
PAM 0.707123 0.036199 0.292876 0.105423
CHURC1 0.735239 0.028804 0.035952 0.112794
ARHGEF17 0.732053 0.031718 0.186338 0.110891
HIP1 0.735292 0.033197 0.059749 0.092614
SPDYC 0.735488 0.032036 0.043570 0.086332
LGALS2 0.738671 0.025380 0.237430 0.099708
ADCK1 0.734893 0.026969 0.073924 0.104627
ACOX1 0.735551 0.028822 0.148355 0.109842
LRRC16A 0.732664 0.030195 0.007451 0.126825
ATOH8 0.730000 0.028732 0.186198 0.110982
NOD2 0.669195 0.033788 0.000001 0.146730
ACTA2 0.731921 0.026576 0.101136 0.104653
ERAP2 0.730665 0.029733 0.124140 0.101050
PIM2 0.730665 0.029733 0.124140 0.101050
ADARB2 0.583560 0.040186 0.000001 0.222390
PKN3 0.731089 0.029914 0.008449 0.123837
VASH1 0.730842 0.026198 0.004823 0.116746
GRIK4 0.731520 0.026942 0.144102 0.132116
MTUS1 0.655833 0.034493 0.000001 0.182110
COL5A3 0.726747 0.031104 0.081382 0.121001
PAAF1 0.675050 0.040057 0.000001 0.145637
CCZ1 0.660190 0.036110 0.000001 0.154736
UPK3B 0.726304 0.029925 0.171174 0.103055
POMZP3 0.723576 0.034671 0.117208 0.120642
HLA-DQA1 0.721606 0.031774 0.096720 0.131132
COL18A1 0.721606 0.031774 0.096720 0.131132
GSTM3 0.722192 0.026541 0.019953 0.128727
RNASET2 0.721181 0.027900 0.110568 0.121183
GSTM4 0.690103 0.030788 0.000001 0.151851
NAAA 0.641982 0.036891 0.000001 0.169418
SLC22A18 0.718503 0.027461 0.018508 0.107418
PVALB 0.716523 0.028756 0.044595 0.121054
ANKDD1A 0.653638 0.047414 0.000001 0.141803
PLB1 0.716933 0.030534 0.106874 0.124147
KCNK17 0.716112 0.029454 0.280154 0.133590
FMN1 0.716112 0.029454 0.280154 0.133590
CRYZ 0.715792 0.033974 0.232367 0.122767
PAQR6 0.714695 0.030275 0.030147 0.110935
ARL17A 0.714652 0.039960 0.025469 0.117435
MYO15B 0.715907 0.031354 0.249045 0.123536
ST6GALNAC6 0.713115 0.033572 0.046094 0.115483
ARL16 0.642128 0.033332 0.000001 0.156935
CMBL 0.588989 0.038935 0.000001 0.197099
LOXHD1 0.708879 0.030135 0.028636 0.116174
KRT77 0.598336 0.041496 0.000001 0.181845
KRT23 0.706965 0.037050 0.243555 0.132906
TFIP11 0.652377 0.033169 0.000001 0.197362
CPNE1 0.708652 0.038852 0.137147 0.112706
TRIM66 0.703292 0.030623 0.255646 0.125124
ACP5 0.704094 0.031712 0.213812 0.122760
C1QL3 0.704523 0.030217 0.076974 0.131213
AKR1C2 0.703840 0.028160 0.023622 0.138355
FBLN5 0.706991 0.029557 0.272551 0.122766
CLCN1 0.706060 0.033571 0.242884 0.110331
GDF15 0.594042 0.035698 0.000001 0.167947
CTSW 0.701934 0.038827 0.015760 0.127946
RPL9 0.700348 0.028802 0.235031 0.135228
CBS 0.697434 0.030589 0.000001 0.131578
PF4V1 0.700472 0.036347 0.209369 0.129894
ERO1L 0.697795 0.035886 0.009578 0.126480
RAPGEF3 0.679439 0.033213 0.000001 0.134293
ULK4 0.695535 0.030557 0.061386 0.117416
ZNF641 0.649556 0.038155 0.000002 0.152375
MDGA1 0.697678 0.030057 0.277786 0.129375
C22orf43 0.668409 0.034519 0.000001 0.123344
ODZ4 0.568753 0.038776 0.000001 0.220533
C9orf95 0.691726 0.031360 0.071809 0.141401
IGHMBP2 0.645883 0.032893 0.354115 0.160994
CLEC4F 0.688155 0.032176 0.254622 0.145167
LIPA 0.690510 0.031693 0.081051 0.127004
CBLN3 0.689770 0.029788 0.176242 0.134067
CD151 0.664897 0.032370 0.335101 0.125914
LSG1 0.688863 0.029738 0.052540 0.149225
LYSMD1 0.688368 0.041731 0.181700 0.127793
LRRC27 0.686442 0.030610 0.014981 0.148713
FAM167A 0.686344 0.032715 0.014454 0.143243
ERAP1 0.687231 0.033632 0.129630 0.131751
NUDT2 0.665054 0.039593 0.000002 0.112337
PCDH8 0.650703 0.038691 0.000001 0.133363
TMEM50A 0.683777 0.035394 0.114223 0.140763
LRRC37A 0.682966 0.042939 0.127843 0.118841
DGKQ 0.684115 0.034239 0.075189 0.131767
LRGUK 0.682787 0.038447 0.042697 0.131218
BCAT1 0.682118 0.034393 0.014372 0.151881
HLA-C 0.680346 0.035767 0.164453 0.134690
SLC12A1 0.679921 0.035535 0.043938 0.125164
DGCR6 0.681321 0.034500 0.055876 0.135367
ZNF100 0.680056 0.042455 0.023611 0.130256
HSPA12B 0.680021 0.033508 0.018326 0.131953
IFITM3 0.678104 0.034539 0.074480 0.104750
DCTN5 0.517207 0.036349 0.000002 0.245009
RAB11FIP4 0.683616 0.038536 0.168588 0.132069
ABP1 0.675892 0.033005 0.068930 0.154241
GSTM1 0.658492 0.035585 0.000001 0.141815
PCGF3 0.622984 0.043187 0.000001 0.138625
SEPT2 0.673057 0.035399 0.230914 0.142081
TPSD1 0.630700 0.036676 0.000001 0.155736
SYCP2L 0.609132 0.034504 0.000001 0.168971
PPP5C 0.671366 0.030446 0.009481 0.124062
QDPR 0.670382 0.032938 0.023609 0.132418
BTNL3 0.675216 0.032658 0.320295 0.125758
TMEM9 0.563403 0.037726 0.000001 0.220721
MTHFSD 0.642986 0.033924 0.000001 0.164085
FGFR1 0.616403 0.042658 0.000001 0.170593
PPFIA4 0.667991 0.031325 0.089257 0.140486
LYZ 0.666841 0.033331 0.125269 0.158420
ICAM4 0.664541 0.037751 0.079465 0.134244
NT5DC3 0.663499 0.032650 0.110132 0.129641
PICK1 0.665417 0.035237 0.090623 0.151903
C1orf85 0.662990 0.034792 0.082610 0.138782
YBEY 0.610886 0.040662 0.000001 0.171171
GCOM1 0.646413 0.035672 0.000001 0.135599
MYOM2 0.660183 0.031913 0.094757 0.151438
CHM 0.660183 0.031913 0.094757 0.151438
CDK10 0.474592 0.046705 0.000001 0.233841
NFXL1 0.658587 0.037068 0.229313 0.135561
ARHGAP22 0.476700 0.050275 0.000001 0.254366
REP15 0.602593 0.040369 0.000001 0.172476
NUDT7 0.656236 0.033659 0.113775 0.148987
ZNF83 0.632950 0.033059 0.000001 0.168181
TACSTD2 0.656898 0.032499 0.172197 0.143717
LIPC 0.653129 0.037037 0.198170 0.165316
VSIG10 0.508300 0.043819 0.000001 0.248753
TMEM80 0.654188 0.034823 0.229118 0.155606
DECR1 0.653677 0.043878 0.009947 0.136321
RNF182 0.596551 0.037093 0.000001 0.174418
USP53 0.650826 0.042303 0.108697 0.143160
CLEC18C 0.651835 0.047721 0.021890 0.133315
ANKMY1 0.650889 0.034032 0.043206 0.154790
ZYX 0.651090 0.040249 0.065771 0.146452
CMTM8 0.651090 0.040249 0.065771 0.146452
ADK 0.648604 0.044018 0.137386 0.149375
PRMT2 0.650641 0.043265 0.121861 0.141515
ACOT1 0.559305 0.044301 0.000001 0.186148
SLC35F3 0.648224 0.033670 0.128033 0.164440
MYO16 0.646304 0.032357 0.067431 0.156802
DCAF4 0.646304 0.032357 0.067431 0.156802
AP1M2 0.645256 0.035913 0.178293 0.151833
CLSTN3 0.644304 0.037008 0.032678 0.168372
ZP3 0.643840 0.039085 0.045749 0.129453
ZADH2 0.643109 0.032401 0.219208 0.150050
BSCL2 0.643109 0.032401 0.219208 0.150050
FAM26F 0.648872 0.042188 0.131283 0.126258
KIAA0284 0.645773 0.038969 0.224353 0.151732
ADAM15 0.643832 0.041191 0.025643 0.123652
B3GNTL1 0.642674 0.043799 0.004095 0.142659
SH3YL1 0.642530 0.036308 0.064224 0.149085
SFXN4 0.410827 0.041000 0.000001 0.294160
U2AF1L4 0.642606 0.034036 0.073182 0.138532
C1orf87 0.411062 0.046521 0.000001 0.280954
IQCB1 0.643372 0.042282 0.310134 0.146851
MXRA7 0.641982 0.031498 0.168788 0.159947
PELO 0.639632 0.042682 0.098455 0.153801
FOLR2 0.564646 0.044789 0.000001 0.178771
ROBO3 0.636953 0.038446 0.185460 0.158136
SLC36A1 0.634537 0.038197 0.230717 0.165378
VSTM1 0.552852 0.038093 0.000001 0.228592
KLHL30 0.638066 0.037423 0.087837 0.132565
ZNF589 0.636838 0.056767 0.055249 0.126694
GPRC5C 0.636117 0.033561 0.087652 0.165865
DNAJC15 0.593439 0.038602 0.000001 0.161838
PLCH2 0.634066 0.035758 0.143442 0.161463
NDUFV3 0.632519 0.036528 0.017985 0.172563
SCRN2 0.556838 0.043558 0.000001 0.177408
SIGLEC12 0.629706 0.032877 0.203122 0.184948
PPFIBP2 0.413528 0.045326 0.000001 0.283795
AFAP1 0.629739 0.034516 0.084460 0.164927
CLEC18A 0.537538 0.048296 0.000001 0.200210
LRRC6 0.629696 0.032941 0.080220 0.162371
FNTB 0.629696 0.032941 0.080220 0.162371
CPA5 0.603639 0.036220 0.000001 0.178739
IQSEC3 0.627289 0.037975 0.063595 0.146114
SPRYD4 0.625342 0.040068 0.342883 0.170995
NAGK 0.599163 0.036618 0.400836 0.194843
SLC25A29 0.584578 0.037152 0.000001 0.158858
FAM154B 0.626368 0.039363 0.091449 0.147544
ENGASE 0.625717 0.035171 0.029946 0.179265
C21orf128 0.624597 0.032529 0.182682 0.202519
BTN3A2 0.621339 0.042583 0.136917 0.127223
WDR18 0.623949 0.032322 0.229164 0.186820
PRUNE2 0.622328 0.031585 0.330532 0.147724
HLA-DQB2 0.623056 0.038840 0.114328 0.160230
SLC2A11 0.623037 0.037713 0.040794 0.125511
MARCO 0.611700 0.037157 0.000001 0.143703
F2RL1 0.622506 0.037801 0.069925 0.173373
SMG5 0.622069 0.037791 0.015859 0.139333
TTC12 0.621237 0.037900 0.094653 0.158701
SHKBP1 0.624120 0.040084 0.129607 0.150882
PNMAL2 0.621641 0.035440 0.053773 0.140004
SRXN1 0.587436 0.037301 0.000001 0.188407
P2RX1 0.621276 0.032921 0.143238 0.154978
ZNF514 0.625866 0.067137 0.141391 0.126574
GCNT2 0.617325 0.036549 0.195684 0.173975
MAN2C1 0.617086 0.044803 0.308379 0.139112
C22orf32 0.562829 0.042103 0.000003 0.180029
CHCHD2 0.595756 0.044307 0.000002 0.162244
MFSD9 0.617839 0.041452 0.119448 0.158783
HSD17B14 0.617450 0.034412 0.002455 0.141427
LPAR1 0.617933 0.037570 0.130062 0.181674
VPS28 0.616675 0.045394 0.067576 0.152514
MORC4 0.616675 0.045394 0.067576 0.152514
CCDC146 0.584657 0.040606 0.000001 0.175438
S100B 0.616557 0.044813 0.197847 0.152191
TMEM8A 0.615771 0.040057 0.023309 0.148032
VNN1 0.616049 0.035995 0.299533 0.177624
NIPAL2 0.613843 0.039216 0.069186 0.157169
CSGALNACT1 0.613645 0.036439 0.078419 0.187956
RAB38 0.614056 0.038756 0.117898 0.142590
TAPBPL 0.614056 0.038756 0.117898 0.142590
FUT10 0.500619 0.044846 0.000002 0.205113
C21orf56 0.569746 0.041349 0.000001 0.167820
PLTP 0.611637 0.038674 0.024734 0.160547
MICB 0.611708 0.043718 0.030925 0.169055
HDHD3 0.592964 0.039740 0.000001 0.169368
SLC5A11 0.610674 0.034002 0.135580 0.151473
PPIL3 0.609511 0.039353 0.155562 0.133998
KANK1 0.601177 0.041246 0.288122 0.201588
HIATL1 0.607198 0.042658 0.020762 0.153570
ZFAND2A 0.577714 0.040722 0.000002 0.171888
INF2 0.607029 0.040085 0.017129 0.147189
WBSCR27 0.606767 0.045117 0.103180 0.126004
MRPL54 0.479787 0.037152 0.000001 0.264743
ZNF880 0.533479 0.034302 0.466520 0.230964
ARSA 0.605510 0.040194 0.015944 0.164283
LIPN 0.602788 0.041622 0.274625 0.158866
C3AR1 0.596840 0.036427 0.000001 0.175293
TIAM2 0.566251 0.040125 0.000001 0.203988
TMC4 0.518010 0.034476 0.000002 0.223807
HAUS4 0.605895 0.034858 0.079431 0.182523
XRCC6BP1 0.605327 0.040632 0.176601 0.135598
FCGBP 0.590177 0.039823 0.000001 0.162808
CIB1 0.606193 0.036758 0.343511 0.158199
SRD5A3 0.540777 0.042707 0.000001 0.196054
SPSB2 0.604085 0.036797 0.170573 0.165739
RNASE6 0.604085 0.036797 0.170573 0.165739
MYO7B 0.603399 0.038737 0.395279 0.170986
ARHGEF19 0.601626 0.039754 0.019953 0.116605
RAI2 0.601626 0.039754 0.019953 0.116605
CRIPAK 0.502382 0.046045 0.000001 0.224621
SERPINB6 0.600494 0.034371 0.005997 0.158974
AMDHD1 0.598417 0.039258 0.122689 0.154683
PAX8 0.599024 0.042166 0.000001 0.136388
SCGB3A2 0.599024 0.042166 0.000001 0.136388
HERC2 0.594435 0.037242 0.405564 0.151885
TRIM4 0.599130 0.047525 0.268447 0.156460
SLC16A2 0.599130 0.047525 0.268447 0.156460
BEGAIN 0.594068 0.033266 0.000002 0.181649
GSTT1 0.595788 0.039667 0.000001 0.165745
HLA-DQA2 0.596897 0.040031 0.263954 0.176979
HLA-DRB1 0.561490 0.043562 0.000002 0.202282
ZNF502 0.597885 0.043883 0.116066 0.139229
B3GALNT2 0.541091 0.036346 0.000002 0.213072
UAP1L1 0.584251 0.037190 0.000001 0.167409
CHST13 0.595138 0.038297 0.050310 0.156576
TRAPPC4 0.593713 0.039326 0.076596 0.172041
CETN2 0.593713 0.039326 0.076596 0.172041
NUDT12 0.593262 0.040871 0.098725 0.171759
PSD4 0.593540 0.040995 0.094595 0.162154
PGM5 0.556408 0.048697 0.000001 0.183589
KIF16B 0.592414 0.035117 0.076303 0.164870
DDR1 0.586702 0.047930 0.000001 0.185952
PLD2 0.509691 0.043826 0.000001 0.231632
TMEM63C 0.563157 0.037536 0.000001 0.185603
CLEC4C 0.591427 0.037117 0.142282 0.170930
RAB15 0.593701 0.050580 0.106163 0.178922
ST20 0.576688 0.035956 0.000001 0.164602
CTSC 0.589908 0.039755 0.161028 0.184123
DHRS1 0.512662 0.042418 0.000001 0.211799
STOX1 0.589832 0.037085 0.127128 0.157067
CPSF1 0.590879 0.042286 0.322524 0.172669
STX2 0.593084 0.033759 0.376953 0.198396
LINS 0.136122 0.017016 0.000002 0.356045
CTSH 0.589121 0.040990 0.047926 0.169920
DNAJB7 0.555927 0.053079 0.000001 0.151897
SIRPB2 0.567366 0.034454 0.000001 0.184649
SNRNP25 0.559403 0.043027 0.000001 0.158153
ORMDL3 0.585960 0.041798 0.337649 0.164484
CDS2 0.573940 0.034368 0.000001 0.181612
GCAT 0.584649 0.039726 0.062054 0.176687
WDR86 0.499818 0.042424 0.000001 0.243473
RBMS2 0.585351 0.041115 0.226997 0.166163
ZNF205 0.439122 0.039468 0.000001 0.227749
ABCA7 0.564466 0.038631 0.000001 0.185794
CD177 0.331024 0.046578 0.000001 0.292205
STK32C 0.565251 0.036437 0.434748 0.203690
CAPN12 0.579774 0.043250 0.034951 0.146859
EBPL 0.578412 0.041206 0.203383 0.183970
CDC42EP1 0.577943 0.035830 0.260050 0.140547
RSPO4 0.581627 0.036511 0.149834 0.199555
FOXRED2 0.578349 0.036180 0.306643 0.195911
POLI 0.579790 0.049478 0.142611 0.142425
ABHD11 0.502053 0.053058 0.000001 0.192835
NT5M 0.577647 0.042597 0.056737 0.172490
C20orf72 0.568689 0.038645 0.000001 0.167178
EFHB 0.576569 0.039779 0.036972 0.177418
HTR6 0.577397 0.035480 0.317201 0.162457
RAP1GAP 0.509277 0.041593 0.000001 0.219902
SARDH 0.465111 0.043935 0.000001 0.249938
TOMM34 0.577119 0.045478 0.286204 0.191145
AGAP7 0.566087 0.047296 0.000001 0.169663
TTC39B 0.576147 0.035819 0.115614 0.191655
FCRL5 0.577177 0.036272 0.193415 0.175454
JAKMIP2 0.562081 0.042373 0.000001 0.194830
PRKCDBP 0.575131 0.039828 0.027151 0.193901
C15orf23 0.575307 0.040205 0.177614 0.172662
CDO1 0.574881 0.045563 0.114696 0.180681
POLR2J3 0.572265 0.047897 0.054877 0.166312
KHNYN 0.532073 0.043105 0.000001 0.215885
VLDLR 0.572828 0.040356 0.207923 0.218862
HLA-DOB 0.482592 0.053947 0.517407 0.238218
PNMAL1 0.554931 0.038717 0.000001 0.176797
ACOT4 0.570118 0.041735 0.076358 0.140695
IRF6 0.564468 0.039098 0.386635 0.183782
CCDC64B 0.504075 0.039849 0.000001 0.232487
CNTNAP2 0.567324 0.035072 0.332445 0.215228
LRRC37A2 0.565793 0.051742 0.273905 0.172503
ZNF266 0.566857 0.038647 0.244980 0.182343
KRT72 0.417657 0.040475 0.000001 0.274013
FANCA 0.564864 0.042132 0.348856 0.177135
SHMT1 0.564864 0.042132 0.348856 0.177135
GAA 0.446280 0.041766 0.000001 0.259293
CLEC4G 0.565268 0.038625 0.108548 0.192639
CALHM2 0.564593 0.051003 0.021345 0.163133
LRRC32 0.564187 0.040343 0.075676 0.198501
C21orf2 0.570942 0.040697 0.359874 0.196482
DIP2A 0.562729 0.044740 0.024640 0.169535
CEACAM4 0.561637 0.043002 0.000001 0.168770
CD300LD 0.539430 0.042696 0.000001 0.198353
NTSR1 0.553643 0.038847 0.000001 0.208056
CRB2 0.564585 0.043103 0.226635 0.193768
PLA2G4C 0.559579 0.040810 0.000001 0.176418
DCLK2 0.541817 0.049041 0.000001 0.154440
CAPG 0.558495 0.043441 0.044105 0.169181
NDST1 0.561325 0.039075 0.284572 0.200372
PM20D1 0.556211 0.039878 0.087617 0.187507
C19orf40 0.553113 0.039410 0.158987 0.187404
ARRDC4 0.556614 0.037198 0.265141 0.204405
PTPRN 0.552912 0.042973 0.300346 0.195768
CD300C 0.556276 0.040952 0.104628 0.198516
SLC2A14 0.554244 0.042252 0.057534 0.182580
EIF3F 0.553181 0.040899 0.062587 0.206138
C8orf73 0.554605 0.044359 0.220378 0.177037
MGMT 0.554515 0.037306 0.155391 0.215231
SAMD10 0.508693 0.038329 0.000001 0.182954
PDE1B 0.551023 0.043746 0.020854 0.188202
TCF19 0.548441 0.046778 0.165600 0.176176
ZNF593 0.444056 0.046831 0.000001 0.199951
GCC2 0.485068 0.046135 0.514930 0.227852
XCL1 0.550220 0.038576 0.107492 0.191204
HIST1H3E 0.550220 0.038576 0.107492 0.191204
HPD 0.549332 0.044658 0.027991 0.167117
POLM 0.548502 0.044113 0.082641 0.172667
NPHP3 0.484155 0.042538 0.000001 0.204206
NMT2 0.547928 0.040641 0.182897 0.199061
SLC22A18AS 0.525650 0.039749 0.000001 0.188944
ZNF157 0.525650 0.039749 0.000001 0.188944
SPP1 0.548004 0.042278 0.026678 0.175117
COPG2 0.551583 0.037503 0.375471 0.188739
POLR3K 0.545690 0.045541 0.000001 0.162352
S100A12 0.547519 0.048089 0.080255 0.175988
SERAC1 0.499634 0.042952 0.000001 0.222439
NEGR1 0.546245 0.044806 0.095049 0.164106
CBR3 0.546495 0.039824 0.019279 0.169582
LIMS2 0.390765 0.041883 0.000001 0.258436
DECR2 0.547058 0.040854 0.101518 0.194018
C1QTNF6 0.546609 0.039658 0.161757 0.204409
LILRA3 0.547235 0.036138 0.164286 0.180448
MUC20 0.398657 0.044307 0.000001 0.270253
KRT73 0.500936 0.042301 0.000001 0.216158
SLC18A1 0.483088 0.040911 0.000001 0.210542
EMR2 0.545937 0.039235 0.350017 0.192873
ATP6V0E2 0.434211 0.041315 0.000001 0.245852
ZNF132 0.540094 0.047361 0.229542 0.187564
CAST 0.542991 0.040943 0.156716 0.193278
LCLAT1 0.543225 0.037887 0.401392 0.203334
CENPK 0.527265 0.041099 0.000002 0.169858
SNX19 0.541711 0.037517 0.053822 0.183731
C1orf105 0.467688 0.040574 0.000002 0.239472
LGALS9 0.537985 0.049511 0.462014 0.201930
TMEM51 0.540986 0.039082 0.003121 0.191553
PHLDB3 0.540986 0.039082 0.003121 0.191553
SFXN2 0.541021 0.054835 0.111958 0.166235
FOXRED1 0.541021 0.054835 0.111958 0.166235
C1QTNF4 0.539798 0.064316 0.008893 0.134233
BBS2 0.398871 0.047873 0.000001 0.348666
SLC24A4 0.533210 0.043943 0.259973 0.224781
TAP2 0.533210 0.043943 0.259973 0.224781
NME4 0.538785 0.042530 0.065708 0.199776
HLA-B 0.537414 0.048538 0.111165 0.198901
SKAP2 0.538719 0.041858 0.155876 0.191867
NUDT18 0.453222 0.039131 0.000001 0.263542
MGST3 0.536609 0.038703 0.140146 0.204325
VPS53 0.531032 0.037317 0.000001 0.193732
RAD52 0.537643 0.037977 0.361697 0.195043
EPHB4 0.537584 0.047074 0.162584 0.197537
ATG10 0.532708 0.041137 0.000001 0.178415
HBZ 0.538815 0.041910 0.252970 0.172178
HSBP1L1 0.326357 0.051515 0.000001 0.282494
SAMD12 0.534615 0.040525 0.102194 0.195280
STEAP4 0.535655 0.044422 0.137704 0.170736
CCDC3 0.536891 0.040172 0.212737 0.223548
DBF4B 0.532762 0.044830 0.127887 0.180070
FAM3D 0.534332 0.044397 0.294495 0.186024
INPP5B 0.536040 0.040407 0.245421 0.199504
MARK4 0.501846 0.039854 0.000001 0.212103
UNC5B 0.532420 0.039815 0.043281 0.191128
NCAPG2 0.532420 0.039815 0.043281 0.191128
STEAP3 0.409152 0.045130 0.000001 0.247692
RSU1 0.531107 0.040157 0.000431 0.207490
RFPL4A 0.531107 0.040157 0.000431 0.207490
RPH3A 0.531481 0.042234 0.236923 0.183897
ANXA5 0.530585 0.042484 0.326463 0.199256
ADPRH 0.531254 0.053388 0.080851 0.188107
FAM55C 0.530078 0.048579 0.176250 0.183136
TRMT12 0.467816 0.038939 0.000001 0.217180
MYCBPAP 0.534171 0.039318 0.388138 0.202669
RAPGEFL1 0.414973 0.043644 0.000001 0.267254
OSCAR 0.501922 0.038341 0.000001 0.232634
MAPK8IP1 0.527828 0.043203 0.321873 0.196948
GSDMB 0.523558 0.045431 0.317379 0.186294
CLIP3 0.527312 0.045057 0.110233 0.187994
ZNF429 0.525960 0.050073 0.083566 0.182964
SIGLEC11 0.526638 0.039422 0.298603 0.213525
GLB1L 0.523345 0.043288 0.304201 0.200259
KIAA1530 0.516670 0.049917 0.000001 0.173590
HPCAL4 0.519670 0.044140 0.400860 0.211536
DUS3L 0.524560 0.036645 0.005612 0.185544
SEPT6 0.524560 0.036645 0.005612 0.185544
CYBRD1 0.526842 0.043056 0.293404 0.211571
COL6A2 0.526779 0.047365 0.244207 0.209131
C11orf75 0.505032 0.046718 0.000001 0.207848
TBC1D9B 0.404005 0.046754 0.000001 0.268047
ROGDI 0.526198 0.043618 0.162025 0.169849
UPK3A 0.523195 0.041073 0.026334 0.225384
HSD17B12 0.523195 0.041073 0.026334 0.225384
NMNAT3 0.522079 0.042735 0.324774 0.196278
NBL1 0.521099 0.039650 0.467247 0.205343
BIRC7 0.454512 0.038641 0.000001 0.216037
UBE2D1 0.521777 0.045776 0.085879 0.177824
RAB39B 0.521777 0.045776 0.085879 0.177824
SEMA4A 0.520586 0.045954 0.089863 0.187724
TMPRSS3 0.355610 0.044395 0.000001 0.330153
TMTC4 0.502104 0.039085 0.000001 0.184369
OLFM4 0.517475 0.051662 0.217109 0.173284
MOCS1 0.518781 0.041130 0.127851 0.218215
CARD14 0.512987 0.039771 0.000001 0.233983
