gene h2 se p
FDFT1 0.999999 0.316464 4.266e-06
ZNF266 0.999999 0.361924 4.514e-06
ERAP2 0.999999 0.373155 4.555e-06
NT5C3L 0.999999 0.380812 5.281e-06
SLC17A3 0.999999 0.341627 5.391e-06
TUFM 0.999999 0.374495 5.906e-06
ASAH1 0.999999 0.367666 6.216e-06
UHRF1BP1 0.999999 0.366690 7.371e-06
BAK1 0.999999 0.346764 9.678e-06
HIST1H3E 0.999999 0.360034 1.034e-05
HLA-E 0.999999 0.329895 1.054e-05
PRR4 0.999999 0.369099 1.137e-05
KRTCAP3 0.999999 0.369789 1.251e-05
MRPL42P5 0.999999 0.381574 1.289e-05
KRT5 0.999999 0.367770 1.322e-05
MAN2C1 0.999999 0.369348 1.485e-05
CCDC71 0.999999 0.362562 1.606e-05
PRUNE2 0.999999 0.372053 1.611e-05
ZNF641 0.999999 0.378478 2e-05
IL18RAP 0.999999 0.369118 2.099e-05
HCG11 0.999999 0.350743 2.569e-05
FUT10 0.999999 0.352291 2.837e-05
CKAP2 0.999999 0.379379 3.15e-05
ORMDL3 0.999999 0.383849 3.687e-05
PPT2 0.999999 0.328347 4.129e-05
DND1 0.999999 0.367724 4.203e-05
NSUN6 0.999999 0.387792 4.356e-05
C6orf27 0.999999 0.339632 4.513e-05
C6orf48 0.999999 0.340997 4.817e-05
GSDMB 0.999999 0.379707 4.904e-05
CHURC1 0.999999 0.363537 5.079e-05
HSPA1B 0.999999 0.348010 5.231e-05
ITIH4 0.999999 0.371813 5.26e-05
BEAN1 0.999999 0.366839 5.317e-05
DOC2GP 0.999999 0.374964 5.433e-05
TSFM 0.999999 0.358311 6.168e-05
NOTCH4 0.999999 0.326501 6.264e-05
HCG26 0.999999 0.338152 6.698e-05
CCDC163P 0.999999 0.394246 6.799e-05
SEC31B 0.999999 0.365174 7.422e-05
C1QTNF4 0.999999 0.363187 7.81e-05
ASL 0.999999 0.365699 7.984e-05
MAPK3 0.999999 0.395914 8.203e-05
LOC151534 0.999999 0.385278 8.601e-05
FAM109B 0.999999 0.362992 8.866e-05
ADCK3 0.999999 0.365622 9.36e-05
C6orf72 0.999999 0.383462 9.816e-05
PRB3 0.999999 0.374925 9.834e-05
USP53 0.999999 0.369346 9.976e-05
TRIM26 0.999999 0.325835 0.0001
METTL8 0.999999 0.379368 0.0001002
MYEF2 0.999999 0.387480 0.0001034
WBSCR27 0.999999 0.377051 0.0001049
INTS4L1 0.999999 0.366208 0.0001139
TNFAIP6 0.999999 0.364687 0.0001179
ZNF772 0.999999 0.378435 0.0001187
CLEC18C 0.999999 0.357212 0.0001227
GBP3 0.999999 0.365624 0.0001254
NCF1C 0.999999 0.361579 0.0001293
TSTD1 0.999999 0.371340 0.0001359
GLYCTK 0.999999 0.361884 0.0001374
CPNE1 0.999999 0.381624 0.00014
LYG1 0.999999 0.383979 0.0001403
CIB1 0.999999 0.364782 0.0001408
SYNM 0.999999 0.369552 0.0001432
STK32C 0.999999 0.383414 0.0001446
ZFAND2A 0.999999 0.366703 0.000146
QSOX1 0.999999 0.371696 0.0001484
TTC19 0.999999 0.358607 0.0001501
LOC338817 0.999999 0.370623 0.000153
LRRC6 0.999999 0.360440 0.000154
APOM 0.835908 0.306221 0.0001544
LOC100131564 0.999999 0.368617 0.0001585
AFAP1 0.999999 0.374459 0.0001618
ZNF322A 0.999999 0.348666 0.0001644
GGA1 0.999999 0.366260 0.0001645
CTSF 0.999999 0.364456 0.0001681
COG5 0.999999 0.379870 0.0001699
KCNK17 0.999999 0.379116 0.0001714
HLA-DPA1 0.999999 0.354881 0.0001728
MCC 0.999999 0.378338 0.0001786
MUC1 0.999999 0.373299 0.0001796
PGBD1 0.900979 0.321569 0.0001807
PRH1 0.999999 0.364617 0.0001981
KIAA1598 0.999999 0.391463 0.0001996
ERP27 0.999999 0.376181 0.0002045
MSRA 0.999999 0.337362 0.0002135
ZNF793 0.999999 0.366987 0.0002266
NSMAF 0.999999 0.369271 0.0002538
LCLAT1 0.999999 0.372724 0.0002617
RBFA 0.999999 0.383802 0.000264
ASAP1 0.999999 0.377898 0.000273
PRSS50 0.999999 0.386192 0.0002785
C5orf35 0.999999 0.377606 0.0002786
PPP2R5A 0.999999 0.394540 0.000293
ACP2 0.999999 0.359667 0.0002975
IGHMBP2 0.999999 0.387983 0.0002993
C6orf163 0.999999 0.366068 0.0003127
CLDN23 0.999999 0.346335 0.0003132
LRRC37A2 0.999999 0.376145 0.0003139
DYRK1A 0.999999 0.372386 0.000316
C6orf62 0.999999 0.370319 0.0003192
MFN2 0.999999 0.366621 0.0003392
DDO 0.999999 0.381369 0.0003509
MRPL53 0.999999 0.376398 0.0003591
NPDC1 0.999999 0.370577 0.0003649
PCCB 0.999999 0.377876 0.0003661
PEX6 0.999999 0.376080 0.0003696
PROZ 0.999999 0.369504 0.0003712
DARS 0.999999 0.369772 0.0003832
ULK3 0.999999 0.387354 0.0003944
AGPAT2 0.999999 0.372489 0.0003983
WAC 0.999999 0.377065 0.0003988
TLR4 0.999999 0.378227 0.0004038
ZFP90 0.999999 0.370565 0.0004045
ALDH8A1 0.999999 0.375025 0.0004063
SERPINB10 0.999999 0.379900 0.0004071
SCAMP5 0.999999 0.368578 0.0004089
RPL9 0.999999 0.400626 0.0004098
PM20D1 0.999999 0.378582 0.0004123
ACYP2 0.999999 0.380056 0.0004249
SGIP1 0.999999 0.377401 0.0004249
FKBPL 0.999999 0.357516 0.0004272
C21orf128 0.999999 0.386134 0.0004361
MFSD9 0.999999 0.395356 0.0004421
ITPR3 0.999999 0.361944 0.0004462
IGSF10 0.999999 0.364732 0.0004547
ZNF814 0.999999 0.378966 0.0004623
CTNNA1 0.999999 0.385648 0.0004625
C1orf85 0.999999 0.388885 0.0004673
SLC16A1 0.999999 0.381405 0.0004711
TRAPPC4 0.999999 0.370745 0.0004713
RGPD4 0.999999 0.364256 0.0004793
GABBR1 0.999762 0.346502 0.0004856
CTSB 0.999999 0.359040 0.0004949
LOC388796 0.999999 0.388567 0.0005104
EIF2B2 0.999999 0.368199 0.0005173
ZNF502 0.999999 0.367169 0.0005175
SLC36A1 0.999999 0.374778 0.0005313
CCDC127 0.999999 0.364232 0.0005376
PLA2G6 0.999999 0.356235 0.0005387
LOC100132707 0.999999 0.386567 0.0005737
B3GALNT1 0.999999 0.363713 0.0005759
RBM6 0.999999 0.362399 0.0005848
C1orf107 0.999999 0.375670 0.0005928
CNPY4 0.999999 0.385280 0.0006246
SLIT1 0.999999 0.382520 0.00065
FAM177A1 0.999999 0.380728 0.0006522
RWDD2B 0.999999 0.366797 0.0006687
LOC339803 0.999999 0.375711 0.0006701
DIP2B 0.999999 0.364057 0.0006816
PPM1J 0.999999 0.369956 0.0006889
TRIM4 0.999999 0.380294 0.0006954
RNASET2 0.999999 0.371726 0.0007201
ERAP1 0.999999 0.361065 0.0007238
WFDC3 0.999999 0.367789 0.0007488
ZFP30 0.999999 0.373633 0.0007811
LYZ 0.999999 0.369159 0.0008763
PLK1 0.999999 0.363241 0.0008825
HIGD2A 0.999999 0.385347 0.000886
SEMA3G 0.999999 0.360349 0.0009041
RDBP 0.999999 0.352716 0.0009077
TAB2 0.999999 0.372913 0.0009081
PADI2 0.999999 0.352136 0.0009097
HPGD 0.999999 0.375706 0.0009485
CTSW 0.999999 0.382008 0.0009595
TAPBPL 0.999999 0.380952 0.000991
MCHR1 0.999999 0.378934 0.0009994
BAT1 0.999999 0.352043 0.001008
S100A13 0.999999 0.367821 0.001025
PPIL3 0.999999 0.383026 0.001044
LYNX1 0.999999 0.380428 0.001051
MAVS 0.999999 0.368059 0.001059
KIAA1826 0.999999 0.376465 0.001065
LOC283663 0.999999 0.360096 0.001065
ZNF320 0.999999 0.372606 0.001067
NAT15 0.999999 0.378118 0.001072
ABCF1 0.922841 0.340204 0.001088
FAM161B 0.999999 0.363552 0.001091
ZNF165 0.810911 0.323723 0.001098
ABL2 0.999999 0.381508 0.001106
TTC18 0.999999 0.371686 0.001122
MGST3 0.999999 0.381555 0.001224
TPRA1 0.999999 0.375398 0.001234
GOT2 0.999999 0.373010 0.001239
CSDC2 0.999999 0.360585 0.001241
EPHA2 0.999999 0.376973 0.001244
RAD51C 0.999999 0.392084 0.001297
DPY19L1 0.999999 0.366179 0.001307
NT5E 0.999999 0.367817 0.001332
RCBTB1 0.999999 0.376900 0.001347
HTRA2 0.999999 0.371674 0.001348
NR1H3 0.999999 0.373116 0.001359
MFSD6 0.999999 0.384019 0.001385
CXCR1 0.999999 0.387727 0.001409
C12orf47 0.999999 0.361102 0.001423
ISL2 0.999999 0.377648 0.001428
CDC16 0.999999 0.361049 0.001447
FLJ40852 0.999999 0.376221 0.001448
NCKIPSD 0.999999 0.373999 0.001486
ATP9B 0.999999 0.352145 0.001529
AMT 0.999999 0.377794 0.001545
FPR1 0.999999 0.372888 0.001548
CBFA2T3 0.987509 0.362796 0.001554
TDP2 0.999999 0.373384 0.00159
TRIM66 0.999999 0.375278 0.001596
FOXRED1 0.999999 0.381252 0.001598
EPHB4 0.999999 0.374004 0.001633
HTR6 0.999999 0.385206 0.001645
MRS2P2 0.999999 0.364435 0.001689
HIST1H3B 0.853313 0.335248 0.001706
SSH3 0.999999 0.378268 0.001714
SNX21 0.977758 0.354426 0.001727
HKR1 0.999999 0.379630 0.001743
ZKSCAN3 0.942760 0.350741 0.001743
PAFAH1B2 0.999999 0.390540 0.001751
TMEM176B 0.999999 0.369663 0.001757
STARD9 0.999999 0.359774 0.001769
MASTL 0.999999 0.381168 0.001797
DNAJB7 0.999999 0.365308 0.001803
VWA5A 0.999999 0.384761 0.001822
ADORA2B 0.999999 0.375212 0.001825
FBN2 0.999999 0.375854 0.001825
VDAC1 0.941338 0.355665 0.001833
KRT1 0.999999 0.378353 0.001852
C1orf105 0.999999 0.365195 0.001856
C7orf46 0.999999 0.367520 0.001863
DUS2L 0.999999 0.372928 0.001915
TK2 0.999999 0.369099 0.001917
ASPRV1 0.999999 0.368736 0.001918
CLEC4F 0.999999 0.381620 0.001926
ARSB 0.999999 0.389236 0.001942
CCDC114 0.999999 0.374389 0.001947
PRRC2A 0.988403 0.366965 0.001961
REEP5 0.999999 0.363124 0.001995
S100B 0.999999 0.366976 0.00202
SIGLEC12 0.999999 0.378860 0.002035
NCRNA00189 0.999999 0.367408 0.002056
MYH11 0.999999 0.402239 0.002126
GPANK1 0.863207 0.346249 0.002129
LRRC58 0.999999 0.384973 0.002133
LRFN4 0.891791 0.346459 0.002145
IRF6 0.999999 0.358552 0.002146
NSL1 0.999999 0.385650 0.002157
TEF 0.988125 0.353787 0.002181
TNFRSF21 0.999999 0.360113 0.002181
ZNHIT6 0.952965 0.358008 0.002202
PAQR4 0.999999 0.378983 0.002209
XRCC6BP1 0.999999 0.364135 0.002245
CGREF1 0.999999 0.370589 0.002257
AHI1 0.999999 0.368402 0.002268
BRD4 0.999999 0.391697 0.002276
NAAA 0.999999 0.376392 0.002316
PBX2 0.923931 0.350976 0.002352
LDOC1 0.999999 0.365847 0.002358
GPR19 0.999999 0.372709 0.002401
TBKBP1 0.999999 0.378343 0.002421
SERPINC1 0.999999 0.370562 0.002422
SH3BP1 0.999999 0.379468 0.002441
FN3KRP 0.999999 0.365552 0.002452
MYOM2 0.999999 0.368056 0.002467
C5 0.999999 0.381408 0.002492
LOC401321 0.999999 0.380206 0.00254
ZNF525 0.999999 0.376174 0.002553
LOC642846 0.999999 0.376985 0.00256
C1orf69 0.999999 0.375504 0.002568
SIDT2 0.999999 0.364750 0.002629
HLA-DPB1 0.954180 0.359668 0.002662
SLC25A45 0.999999 0.380693 0.002667
CDC14A 0.999999 0.378466 0.002739
SH3D20 0.942568 0.356456 0.002788
GUF1 0.999999 0.390936 0.002796
ALG1L 0.999999 0.388470 0.002802
CEP192 0.999999 0.385477 0.002838
CLK3 0.999999 0.371127 0.002885
EARS2 0.999999 0.376824 0.002885
GPR55 0.999999 0.387625 0.002895
TDH 0.901208 0.348848 0.002895
C3orf52 0.999999 0.391158 0.002907
ZNF562 0.999999 0.389430 0.00294
NOMO1 0.928158 0.356636 0.002948
NRBP1 0.999999 0.371324 0.002973
PTPRN 0.999999 0.373646 0.002994
C3orf18 0.999999 0.362416 0.003018
STOX1 0.965970 0.356059 0.003053
TNFRSF4 0.999999 0.384982 0.003109
CNTNAP2 0.999999 0.377161 0.003155
CN5H6.4 0.999999 0.380070 0.003178
CCDC101 0.999999 0.373298 0.003184
RBM22 0.999999 0.390019 0.003187
ZNF846 0.999999 0.383180 0.0032
EGFL8 0.931002 0.355306 0.003204
LOC339290 0.999999 0.379606 0.003215
DCTN5 0.943294 0.355262 0.003219
GPBAR1 0.969771 0.361935 0.003233
TOMM34 0.999999 0.392666 0.003248
ZNF542 0.999999 0.385937 0.003257
CCS 0.999999 0.365480 0.003269
SPRYD4 0.999999 0.382773 0.003278
HSD3B7 0.999999 0.370667 0.00328
CTH 0.999999 0.372789 0.003293
PIGO 0.945793 0.370499 0.003306
CASP10 0.999999 0.395390 0.003312
TSPAN3 0.888228 0.353371 0.003321
WDR5B 0.999999 0.375582 0.003321
CIB2 0.966485 0.362359 0.003332
C22orf29 0.999999 0.372072 0.003366
GATM 0.999999 0.383208 0.003371
PTK2B 0.999999 0.370784 0.003405
GPNMB 0.971779 0.360621 0.003426
TSPAN15 0.999999 0.384944 0.003435
PKIA 0.999999 0.386960 0.003484
UBA7 0.999760 0.365686 0.003485
FAM65B 0.999999 0.371863 0.003504
C7orf44 0.999999 0.375645 0.003513
IL17RA 0.939075 0.365999 0.003541
EPN1 0.999999 0.385991 0.003551
BIRC7 0.999999 0.369819 0.003553
LIN52 0.999999 0.371697 0.003599
SKAP2 0.999999 0.381608 0.003622
PPP1R14B 0.999999 0.371020 0.00364
UQCC 0.999999 0.375873 0.003656
PHACTR4 0.925789 0.352591 0.00372
C4orf33 0.999999 0.375064 0.003745
LOC285074 0.999999 0.376500 0.003746
FXYD7 0.999999 0.376072 0.003768
RAPGEF5 0.999999 0.368139 0.00377
LGALS9C 0.999999 0.372401 0.003773
PI16 0.999999 0.370569 0.003787
SARS2 0.946937 0.359693 0.003796
NTN4 0.999999 0.394827 0.003814
SCAPER 0.941728 0.358711 0.003863
PSMC3IP 0.999999 0.371810 0.003879
GYPE 0.999999 0.387102 0.003882
ATP6AP1L 0.923722 0.364927 0.003934
CLN6 0.999999 0.371637 0.003949
BTN2A2 0.849069 0.353030 0.003957
TFPT 0.999999 0.378302 0.003959
SUPT3H 0.999999 0.375169 0.003961
CMAH 0.935551 0.366987 0.004023
DNAJC15 0.919462 0.365253 0.004025
INTS8 0.999999 0.388447 0.004045
GCC2 0.999999 0.374753 0.004054
RUNX2 0.946993 0.370597 0.004082
ACSBG2 0.895018 0.364831 0.004083
SMG5 0.999999 0.387048 0.004099
LOC441208 0.999999 0.375192 0.004115
TREX1 0.999999 0.379352 0.004127
FBLL1 0.999999 0.385257 0.004169
ATP2A2 0.976552 0.367045 0.004211
FADS2 0.999999 0.384566 0.004223
PDZD8 0.999999 0.381091 0.004228
C17orf66 0.999999 0.371973 0.004229
PI3 0.999999 0.381623 0.004334
H1F0 0.962526 0.365501 0.004335
FAM118A 0.999999 0.382323 0.004349
YPEL5 0.999999 0.374062 0.004355
RBMS2 0.964827 0.363902 0.004384
RAD54B 0.999999 0.379412 0.00439
TNF 0.795604 0.334796 0.004441
VIPR2 0.999999 0.377839 0.004442
VRK2 0.911557 0.360280 0.004443
FARP2 0.999999 0.376121 0.004445
LOC493754 0.999999 0.374508 0.004453
UBE2E3 0.991733 0.370342 0.004453
ADARB2 0.999999 0.392187 0.004468
ARHGAP26 0.957765 0.363111 0.0045
MGAT5B 0.969444 0.366447 0.004557
CXCL6 0.983585 0.370824 0.004568
PRKX 0.942557 0.365305 0.004596
PLXDC1 0.963122 0.363450 0.004604
CC2D1B 0.999999 0.398859 0.004626
C1orf156 0.999999 0.376383 0.004628
ESAM 0.973260 0.365888 0.004633
ADI1 0.999999 0.372111 0.004697
FANCA 0.997945 0.374169 0.00473
EBPL 0.999999 0.391870 0.004771
LOC375196 0.920401 0.365731 0.004774
ZZEF1 0.999999 0.386624 0.004801
NARFL 0.999999 0.376684 0.00482
C17orf107 0.999999 0.382876 0.004837
HN1L 0.999999 0.376606 0.004875
NCRNA00256A 0.967382 0.367648 0.004878
LOC283070 0.999999 0.384558 0.004937
LOC155060 0.999999 0.378680 0.004952
TMIE 0.999999 0.377331 0.004952
CCL2 0.997310 0.376829 0.004957
SNAP47 0.947046 0.367516 0.004988
GAS2L1 0.936578 0.366351 0.005053
TSPAN16 0.999999 0.385772 0.00507
NCRNA00258 0.890948 0.361474 0.005077
PAQR6 0.999999 0.392258 0.005134
LRRC32 0.999999 0.398891 0.005139
HSPA1L 0.851206 0.351587 0.005172
NDN 0.888301 0.364996 0.005185
C6orf64 0.999999 0.388891 0.005195
ZSCAN29 0.999999 0.381951 0.005195
CHCHD2 0.999999 0.391031 0.005217
LOC284551 0.999999 0.382754 0.005237
CRAT 0.941274 0.368143 0.005242
NEGR1 0.987092 0.370507 0.005272
BAZ2B 0.999999 0.385956 0.005275
RBM12 0.978549 0.369388 0.005278
PTP4A3 0.999999 0.377687 0.005354
BSN 0.928864 0.363019 0.005369
LOC100128398 0.999999 0.383534 0.005385
LIG3 0.837346 0.354314 0.005437
BDH2 0.907045 0.355915 0.005452
PNRC1 0.964853 0.370905 0.005478
WDR18 0.982269 0.372898 0.005567
POLR3A 0.999999 0.379170 0.005595
C9orf130 0.989685 0.376009 0.005596
GGT7 0.820490 0.348095 0.005624
PHLPP1 0.944502 0.371739 0.005659
LMOD3 0.950259 0.373894 0.00569
STAG3L4 0.999999 0.387379 0.005728
TBCA 0.863972 0.357082 0.00573
GLUL 0.968392 0.371699 0.005789
PHF11 0.900431 0.362741 0.00581
HLA-DRA 0.890516 0.360176 0.005833
BEGAIN 0.999999 0.387977 0.00587
PHIP 0.886533 0.365726 0.005873
WDR91 0.856865 0.360268 0.005893
SULT2B1 0.969017 0.373079 0.006005
WDR55 0.814655 0.350123 0.006009
STK24 0.925601 0.375627 0.006058
RCAN1 0.908596 0.369890 0.006115
GCAT 0.981515 0.376062 0.006152
NMNAT3 0.907396 0.368555 0.006166
TMOD2 0.960656 0.373593 0.006171
ANKDD1A 0.999999 0.394412 0.006198
GP9 0.983554 0.374090 0.00621
ACOT7 0.999999 0.380646 0.006265
C14orf45 0.980215 0.375112 0.006268
EDA2R 0.936032 0.370642 0.00638
NEU1 0.749192 0.342169 0.006472
GPRASP2 0.965321 0.379392 0.00648
ZNF471 0.939724 0.368216 0.006545
PTPRS 0.925234 0.369090 0.006601
TMEM176A 0.928543 0.372750 0.006603
LOC220906 0.937351 0.373120 0.006605
LOC100129316 0.999999 0.383429 0.006616
RAB11B 0.934379 0.368301 0.006663
WLS 0.948738 0.374175 0.006685
CD36 0.999999 0.399847 0.006696
DDX3X 0.902571 0.362704 0.006706
ZDHHC1 0.901166 0.367040 0.006716
LOC79015 0.984591 0.375136 0.006735
DLG5 0.915477 0.364373 0.006738
C1orf220 0.941018 0.372062 0.00674
C17orf97 0.920081 0.370749 0.006758
PTTG1IP 0.999999 0.406582 0.006767
HPSE2 0.846259 0.359387 0.006906
LRRC23 0.986792 0.377161 0.00693
PARP11 0.960860 0.373847 0.00694
C15orf53 0.916842 0.371467 0.006962
SEC16A 0.908044 0.367163 0.006975
LOC100233209 0.913265 0.374385 0.006984
ATPAF2 0.991332 0.381483 0.007012
ATP6V0A2 0.999999 0.379989 0.007062
SHMT1 0.999999 0.381563 0.007101
CAMLG 0.920649 0.376764 0.007105
RAPGEF1 0.914061 0.369132 0.007136
TRIM39 0.893534 0.367000 0.007157
VAMP1 0.943575 0.372447 0.007196
RERE 0.999999 0.389321 0.007218
LGALS8 0.894932 0.364938 0.00722
CDC42 0.999999 0.386192 0.007228
WDR59 0.999999 0.387654 0.00725
PISD 0.923287 0.369025 0.007303
SLC41A2 0.881089 0.368220 0.007357
NBL1 0.981266 0.380548 0.007407
LRRFIP2 0.895628 0.367010 0.007425
CD74 0.764010 0.347523 0.007434
KIAA1737 0.985116 0.377592 0.007469
MAP1LC3B 0.971459 0.381810 0.007481
ATRX 0.907404 0.374076 0.00749
RAB23 0.999999 0.387358 0.007497
PLEKHG5 0.999999 0.385832 0.007505
DHX36 0.946975 0.377772 0.007534
ZNF79 0.940502 0.376979 0.007559
ACAD10 0.806153 0.355908 0.007697
SNORD89 0.865071 0.364340 0.007719
LFNG 0.848194 0.365056 0.007747
ARGFXP2 0.867479 0.362151 0.007766
C2orf15 0.977369 0.377716 0.007767
EBLN2 0.999999 0.390631 0.00777
KCNMB4 0.999999 0.402571 0.007798
CLOCK 0.975483 0.383216 0.007823
VPS37B 0.943705 0.380552 0.00783
LAP3 0.914123 0.368758 0.00784
GPR126 0.999999 0.393763 0.007871
NOS1AP 0.884715 0.363829 0.007921
UBE2Z 0.782662 0.348656 0.007958
CBR3 0.975059 0.378812 0.008026
POLI 0.961113 0.379679 0.008037
ASIP 0.882167 0.367961 0.008049
FAM149B1 0.919635 0.372857 0.0081
CHUK 0.839969 0.355333 0.008125
TMEM80 0.900515 0.370153 0.008163
CASP8 0.924963 0.372142 0.008203
BLVRA 0.951164 0.378801 0.008206
LOC100131801 0.902818 0.374564 0.008249
KRT13 0.952867 0.378758 0.008256
TPPP3 0.975710 0.382366 0.008308
TNFSF12 0.892981 0.370811 0.008323
C7orf29 0.966528 0.382275 0.00836
KIAA0355 0.978141 0.382170 0.008363
DYRK1B 0.999999 0.386931 0.0086
SLFN5 0.937778 0.379686 0.008701
ODZ4 0.987799 0.382687 0.008709
DTX3 0.877029 0.368098 0.008728
IMPACT 0.923397 0.376773 0.008755
OPLAH 0.826854 0.364167 0.008806
ZNF816 0.926036 0.372400 0.008859
HSF2BP 0.999999 0.391556 0.008871
C9orf95 0.859135 0.366318 0.008875
NCRNA00294 0.930574 0.377433 0.008956
ZCRB1 0.998267 0.389339 0.009032
BTN3A1 0.759814 0.346257 0.009059
TMEM107 0.896028 0.376296 0.009215
MPPED2 0.995576 0.384853 0.009216
VNN1 0.994569 0.387601 0.009259
ENDOG 0.972076 0.383756 0.009295
CAMSAP1 0.969523 0.383135 0.009326
SERPINF1 0.950610 0.386954 0.00942
DEDD2 0.999999 0.391292 0.009424
TMEM42 0.932789 0.378968 0.009465
KIR2DL1 0.899831 0.373079 0.009474
MED14 0.871940 0.372823 0.009478
TPK1 0.870720 0.366382 0.009481
TINF2 0.849764 0.363678 0.009515
PVRIG 0.852798 0.364099 0.009537
C18orf45 0.920074 0.377602 0.009552
NUDT2 0.905416 0.372644 0.009558
MCM3AP 0.999999 0.390987 0.009564
HIST1H4H 0.760866 0.353119 0.00957
PTGIR 0.780714 0.356876 0.009611
