type dis tis obsOverlap meanOverlap lCI uCI empPval
Tissue-Wide CAD Thyroid 25 29.45 22.475 38 0.82
Tissue-Specific CD CrossTissue 186 195.69 179 211.525 0.83
Tissue-Specific CD MuscleSkeletal 132 140.03 125.475 156 0.83
Tissue-Wide CAD Lung 23 27.46 19.475 35 0.83
Tissue-Wide HT WholeBlood 4 6.78 3 11 0.83
Tissue-Specific T1D ArteryTibial 29 34.17 26.475 42 0.84
Tissue-Specific T1D NerveTibial 29 33.62 26 41 0.84
Tissue-Specific CD Lung 127 135.76 117.325 154.525 0.84
Tissue-Wide CD CrossTissue 186 195.13 181.475 212.05 0.85
Tissue-Wide T1D Thyroid 24 28.49 21 37 0.86
Tissue-Wide RA AdiposeSubcutaneous 46 52.06 42.95 61.525 0.87
Tissue-Wide HT HeartLeftVentricle 4 7.43 3 12 0.88
Tissue-Specific T2D HeartLeftVentricle 37 42.24 34.475 51 0.89
Tissue-Wide BD HeartLeftVentricle 4 6.66 3.475 10 0.89
Tissue-Wide HT CrossTissue 9 12.33 8 16.525 0.89
Tissue-Wide T1D MuscleSkeletal 21 26.38 19.475 33 0.89
Tissue-Specific RA CrossTissue 77 84.82 73.475 95.525 0.9
Tissue-Wide T1D AdiposeSubcutaneous 20 27.06 18 36.1 0.9
Tissue-Wide RA CrossTissue 77 85.39 73 99 0.91
Tissue-Wide T1D HeartLeftVentricle 22 27.96 21 36 0.92
Tissue-Wide T1D NerveTibial 22 28.13 19.475 34 0.92
Tissue-Wide HT Lung 4 7.68 4 11 0.93
Tissue-Specific T1D MuscleSkeletal 25 32.5 25 40.525 0.95
Tissue-Specific BD AdiposeSubcutaneous 4 7.31 4 11 0.96
Tissue-Specific T1D Lung 23 31.05 22.475 38 0.96
Tissue-Specific HT CrossTissue 9 12.5 9.475 16 0.97
Tissue-Specific RA WholeBlood 59 69.41 60 79 0.98
Tissue-Specific RA Thyroid 51 63.96 54 76.575 0.99
Tissue-Specific CAD ArteryTibial 27 34.82 29 42 1
Tissue-Wide CD Lung 97 120.51 105 136.525 1
Tissue-Wide RA SkinSunExposed(Lowerleg) 39 54.78 42 64 1
