type dis tis obsOverlap meanOverlap lCI uCI empPval
Tissue-Wide CD NerveTibial 127 125.23 108 143 0.395
Tissue-Wide ALL HeartLeftVentricle 1607 1602.315 1549 1659 0.423
Tissue-Wide CAD ArteryTibial 28 27.926 20 36 0.437
Tissue-Specific HT ArteryTibial 9 9.246 5 13 0.441
Tissue-Wide CAD WholeBlood 24 24.004 16 32 0.442
Tissue-Specific T2D WholeBlood 46 46.019 37 55 0.457
Tissue-Specific BD Thyroid 8 8.264 4 12 0.459
Tissue-Specific T1D WholeBlood 37 37.155 28 45 0.475
Tissue-Wide T2D Lung 34 34.305 25 43 0.488
Tissue-Wide CAD AdiposeSubcutaneous 27 27.5 20 35.025 0.495
Tissue-Specific CAD Thyroid 34 34.352 26 42 0.508
Tissue-Wide HT SkinSunExposed(Lowerleg) 7 7.643 3 12 0.539
Tissue-Wide CD HeartLeftVentricle 119 120.925 104.975 138 0.558
Tissue-Specific T2D ArteryTibial 41 42.338 33 52 0.565
Tissue-Wide RA WholeBlood 44 45.314 35 56 0.565
Tissue-Wide T2D HeartLeftVentricle 33 34.356 25.975 44 0.568
Tissue-Wide RA Lung 51 52.492 41 64 0.568
Tissue-Wide T2D CrossTissue 54 55.594 47 65 0.573
Tissue-Specific T2D CrossTissue 54 55.575 47 65 0.588
Tissue-Wide T1D Lung 26 27.563 20 36 0.598
Tissue-Specific HT SkinSunExposed(Lowerleg) 9 10.151 6 14 0.609
Tissue-Wide HT MuscleSkeletal 6 7.188 3.975 11 0.611
Tissue-Specific HT HeartLeftVentricle 8 9.19 5 13 0.614
Tissue-Wide CD AdiposeSubcutaneous 115 118.1 102 135 0.614
Tissue-Specific T1D Thyroid 32 33.703 26 42 0.616
Tissue-Wide CD SkinSunExposed(Lowerleg) 120 123.257 106 141 0.618
Tissue-Specific T2D Thyroid 40 42.064 34 51.025 0.623
Tissue-Wide ALL CrossTissue 2583 2593.902 2540 2647.05 0.624
Tissue-Specific BD HeartLeftVentricle 7 8.187 4 12 0.629
Tissue-Specific ALL CrossTissue 2583 2592.903 2540 2649 0.629
Tissue-Specific RA ArteryTibial 62 64.617 53 76.025 0.641
Tissue-Specific CD HeartLeftVentricle 144 147.696 130 165 0.645
Tissue-Wide T1D SkinSunExposed(Lowerleg) 26 28.2 20 36 0.66
Tissue-Wide T2D NerveTibial 33 35.591 27 45 0.669
Tissue-Wide BD MuscleSkeletal 5 6.464 3 11 0.67
Tissue-Specific T1D SkinSunExposed(Lowerleg) 35 37.433 29 45.025 0.675
Tissue-Specific RA MuscleSkeletal 58 61.085 49 73 0.681
Tissue-Wide RA NerveTibial 51 54.447 43 65 0.687
Tissue-Specific T1D CrossTissue 42 44.592 36.975 53 0.703
Tissue-Specific CAD MuscleSkeletal 30 32.741 24 40 0.704
Tissue-Specific RA HeartLeftVentricle 61 64.822 53.975 76 0.71
Tissue-Specific CAD SkinSunExposed(Lowerleg) 35 38.135 29 47 0.711
Tissue-Wide T1D CrossTissue 42 44.581 36 52 0.711
Tissue-Specific BD Lung 6 7.578 4 12 0.721
Tissue-Specific T2D SkinSunExposed(Lowerleg) 43 46.418 38 56 0.726
Tissue-Wide CAD HeartLeftVentricle 25 27.954 20 36 0.729
Tissue-Specific BD MuscleSkeletal 6 7.877 4 12 0.74
Tissue-Specific RA Lung 55 59.374 47 71 0.752
Tissue-Specific CAD Lung 28 31.545 24 40 0.758
Tissue-Wide RA Thyroid 50 54.595 44 65 0.762
Tissue-Wide RA ArteryTibial 48 52.495 41 64 0.764
Tissue-Wide CD ArteryTibial 113 119.824 102 136 0.776
Tissue-Wide T1D WholeBlood 20 23.508 15.975 31.025 0.777
Tissue-Specific CD ArteryTibial 140 147.914 130 165.025 0.792
Tissue-Specific CD MuscleSkeletal 132 139.811 123 156 0.795
Tissue-Specific RA SkinSunExposed(Lowerleg) 66 71.42 60 83 0.799
Tissue-Wide CAD Thyroid 25 29.071 21 37 0.803
Tissue-Wide T2D WholeBlood 25 29.311 21 38 0.805
Tissue-Wide RA AdiposeSubcutaneous 46 51.319 40 62 0.808
Tissue-Specific CD Lung 127 135.766 118.975 153.025 0.815
Tissue-Specific T1D ArteryTibial 29 33.722 25 43 0.818
Tissue-Specific T2D HeartLeftVentricle 37 41.9 33 51 0.821
Tissue-Wide HT WholeBlood 4 6.406 2 10 0.823
Tissue-Wide T1D Thyroid 24 28.525 21 37 0.835
Tissue-Wide CAD Lung 23 27.845 19.975 36.025 0.843
Tissue-Specific CD CrossTissue 186 195.379 179 213 0.849
Tissue-Wide CD CrossTissue 186 195.466 177.975 212 0.849
Tissue-Specific T1D NerveTibial 29 33.926 25 42 0.853
Tissue-Wide BD HeartLeftVentricle 4 6.696 3 10 0.857
Tissue-Specific HT CrossTissue 9 12.087 8 16 0.86
Tissue-Wide T1D MuscleSkeletal 21 26.111 18 34 0.88
Tissue-Wide T1D HeartLeftVentricle 22 27.596 20 36 0.881
Tissue-Wide HT CrossTissue 9 12.097 8 16 0.885
Tissue-Specific RA CrossTissue 77 85.11 74 97 0.898
Tissue-Wide HT Lung 4 7.347 3 12 0.908
Tissue-Wide HT HeartLeftVentricle 4 7.392 3 12 0.909
Tissue-Wide RA CrossTissue 77 84.963 74 96 0.914
Tissue-Specific BD AdiposeSubcutaneous 4 7.37 3.975 11.025 0.921
Tissue-Specific T1D MuscleSkeletal 25 31.987 24 40 0.932
Tissue-Wide T1D NerveTibial 22 28.95 21 37.025 0.935
Tissue-Specific CAD ArteryTibial 27 34.525 26 42 0.955
Tissue-Wide T1D AdiposeSubcutaneous 20 27.225 20 35.025 0.959
Tissue-Specific T1D Lung 23 31.002 23 39 0.968
Tissue-Specific RA WholeBlood 59 70.482 59 82 0.973
Tissue-Specific RA Thyroid 51 64.416 54 76 0.995
Tissue-Wide RA SkinSunExposed(Lowerleg) 39 53.969 43 65 0.997
Tissue-Wide CD Lung 97 120.914 104 139 0.999
