type disease tissue observed_overlap mean_overlap emp_pval
Tissue-Wide T1D MuscleSkeletal 3 5.004 0.741
Tissue-Wide T1D NerveTibial 5 8.74 0.887
Tissue-Wide T1D SkinSunExposed(Lowerleg) 6 6.619 0.502
Tissue-Wide T1D Thyroid 5 7.702 0.795
Tissue-Wide T1D WholeBlood 4 4.903 0.546
Tissue-Wide T2D CrossTissue 15 16.169 0.565
Tissue-Wide T2D AdiposeSubcutaneous 10 10.383 0.478
Tissue-Wide T2D ArteryTibial 17 11.25 0.028
Tissue-Wide T2D HeartLeftVentricle 17 12.928 0.097
Tissue-Wide T2D Lung 12 10.458 0.244
Tissue-Wide T2D MuscleSkeletal 8 8.261 0.432
Tissue-Wide T2D NerveTibial 15 14.134 0.329
Tissue-Wide T2D SkinSunExposed(Lowerleg) 13 10.897 0.19
Tissue-Wide T2D Thyroid 13 12.528 0.382
Tissue-Wide T2D WholeBlood 6 7.815 0.684
Tissue-Wide CD CrossTissue 26 38.155 0.983
Tissue-Wide CD AdiposeSubcutaneous 18 24.571 0.899
Tissue-Wide CD ArteryTibial 13 26.426 0.999
Tissue-Wide CD HeartLeftVentricle 21 30.829 0.972
Tissue-Wide CD Lung 16 24.538 0.956
Tissue-Wide CD MuscleSkeletal 19 19.364 0.469
Tissue-Wide CD NerveTibial 23 33.404 0.969
Tissue-Wide CD SkinSunExposed(Lowerleg) 26 25.168 0.377
Tissue-Wide CD Thyroid 24 29.521 0.844
Tissue-Wide CD WholeBlood 20 18.517 0.313
Tissue-Wide RA CrossTissue 16 17.588 0.601
Tissue-Wide RA AdiposeSubcutaneous 14 11.252 0.151
Tissue-Wide RA ArteryTibial 13 12.185 0.321
Tissue-Wide RA HeartLeftVentricle 17 14.106 0.162
Tissue-Wide RA Lung 12 11.341 0.347
Tissue-Wide RA MuscleSkeletal 10 9.072 0.296
Tissue-Wide RA NerveTibial 19 15.553 0.138
Tissue-Wide RA SkinSunExposed(Lowerleg) 11 11.683 0.495
Tissue-Wide RA Thyroid 17 13.616 0.131
Tissue-Wide RA WholeBlood 11 8.477 0.136
