AssociatedGeneName EnsemblGeneID h2.WholeBlood se.WholeBlood ensid
C17orf97 ENSG00000187624.7 0.607964 0.066782 ENSG00000187624
CAMK1D ENSG00000183049.8 0.308566 0.08572 ENSG00000183049
ISL2 ENSG00000159556.5 0.306403 0.077789 ENSG00000159556
FAM83D ENSG00000101447.9 0.204382 0.079759 ENSG00000101447
ADAT1 ENSG00000065457.6 0.20094 0.067701 ENSG00000065457
TJP2 ENSG00000119139.12 0.244747 0.063704 ENSG00000119139
NME4 ENSG00000103202.8 0.331601 0.079032 ENSG00000103202
GCC2 ENSG00000135968.15 0.42687 0.072031 ENSG00000135968
TNFAIP6 ENSG00000123610.3 0.412747 0.075507 ENSG00000123610
QDPR ENSG00000151552.7 0.406426 0.084922 ENSG00000151552
NSFL1C ENSG00000088833.12 0.413784 0.079794 ENSG00000088833
RSPO4 ENSG00000101282.4 0.349915 0.078252 ENSG00000101282
MAML3 ENSG00000196782.8 0.206901 0.071094 ENSG00000196782
PARP16 ENSG00000138617.10 0.228618 0.074027 ENSG00000138617
CDC42EP1 ENSG00000128283.6 0.269134 0.075719 ENSG00000128283
UBE2Z ENSG00000159202.13 0.161434 0.063918 ENSG00000159202
GSTM1 ENSG00000134184.8 0.273491 0.082323 ENSG00000134184
COG1 ENSG00000166685.7 0.150515 0.061345 ENSG00000166685
ZFP28 ENSG00000196867.3 0.188846 0.069293 ENSG00000196867
YIPF5 ENSG00000145817.12 0.384673 0.071936 ENSG00000145817
KIAA2013 ENSG00000116685.11 0.209996 0.066219 ENSG00000116685
TRIM4 ENSG00000146833.11 0.18238 0.065565 ENSG00000146833
IQCB1 ENSG00000173226.12 0.395517 0.073418 ENSG00000173226
SIRPB1 ENSG00000101307.11 0.659453 0.063165 ENSG00000101307
PDSS1 ENSG00000148459.11 0.221369 0.065805 ENSG00000148459
FRRS1 ENSG00000156869.8 0.129832 0.057458 ENSG00000156869
COG5 ENSG00000164597.9 0.286756 0.071141 ENSG00000164597
ASB3 ENSG00000270898.1 0.139866 0.066008 ENSG00000270898
PPIP5K2 ENSG00000145725.14 0.258266 0.063622 ENSG00000145725
ASNSD1 ENSG00000138381.5 0.432291 0.073972 ENSG00000138381
TMEM45A ENSG00000181458.6 0.18723 0.062235 ENSG00000181458
ZFP90 ENSG00000184939.10 0.32342 0.068605 ENSG00000184939
ZNF282 ENSG00000170265.7 0.266091 0.068137 ENSG00000170265
CCDC74A ENSG00000163040.10 0.12095 0.060182 ENSG00000163040
GSDMB ENSG00000073605.14 0.265766 0.067816 ENSG00000073605
TRIM37 ENSG00000108395.9 0.231451 0.067427 ENSG00000108395
ANKDD1A ENSG00000166839.12 0.185803 0.069235 ENSG00000166839
COG6 ENSG00000133103.12 0.19073 0.071426 ENSG00000133103
PPP1R16A ENSG00000160972.5 0.224528 0.066023 ENSG00000160972
ORAI2 ENSG00000160991.10 0.27795 0.071404 ENSG00000160991
ANXA8L1 ENSG00000150165.13 0.15297 0.058642 ENSG00000150165
SLC22A5 ENSG00000197375.8 0.27309 0.077415 ENSG00000197375
APOLD1 ENSG00000178878.7 0.150649 0.069504 ENSG00000178878
DDX11 ENSG00000013573.12 0.681338 0.050428 ENSG00000013573
RCBTB1 ENSG00000136144.7 0.285633 0.07143 ENSG00000136144
ZNF589 ENSG00000164048.9 0.29775 0.085534 ENSG00000164048
C22orf43 ENSG00000189269.7 0.512807 0.06791 ENSG00000189269
ZNF605 ENSG00000196458.6 0.168133 0.063938 ENSG00000196458
F11R ENSG00000270149.1 0.138562 0.066076 ENSG00000270149
ADORA1 ENSG00000163485.11 0.176983 0.067375 ENSG00000163485
C4BPA ENSG00000123838.6 0.649473 0.059076 ENSG00000123838
CMTM8 ENSG00000170293.4 0.233081 0.077029 ENSG00000170293
ATP6V0E2 ENSG00000171130.13 0.234704 0.082557 ENSG00000171130
SH3BP1 ENSG00000100092.16 0.140295 0.067394 ENSG00000100092
MYRF ENSG00000124920.9 0.261222 0.079381 ENSG00000124920
CYP4F12 ENSG00000186204.9 0.20378 0.062997 ENSG00000186204
PLEC ENSG00000178209.10 0.342714 0.07196 ENSG00000178209
FTSJ3 ENSG00000108592.12 0.167979 0.059241 ENSG00000108592
ZNF554 ENSG00000172006.7 0.287229 0.071142 ENSG00000172006
RNF17 ENSG00000132972.13 0.206555 0.078323 ENSG00000132972
STEAP1B ENSG00000105889.10 0.14899 0.069649 ENSG00000105889
PI16 ENSG00000164530.9 0.178935 0.07299 ENSG00000164530
LRRC8B ENSG00000197147.8 0.369672 0.070022 ENSG00000197147
SLC25A26 ENSG00000144741.12 0.172072 0.066834 ENSG00000144741
CRYGN ENSG00000127377.4 0.168386 0.068589 ENSG00000127377
VPS28 ENSG00000160948.9 0.456872 0.07921 ENSG00000160948
GSDMA ENSG00000167914.6 0.321006 0.079504 ENSG00000167914
HSD17B7 ENSG00000132196.8 0.150285 0.06761 ENSG00000132196
CCR1 ENSG00000163823.3 0.1312 0.058298 ENSG00000163823
TOB1 ENSG00000141232.4 0.208952 0.07616 ENSG00000141232
SAYSD1 ENSG00000112167.5 0.344559 0.072284 ENSG00000112167
CHAF1A ENSG00000167670.11 0.143182 0.069973 ENSG00000167670
SUPT16H ENSG00000092201.5 0.175464 0.07778 ENSG00000092201
SRD5A3 ENSG00000128039.6 0.437409 0.072715 ENSG00000128039
YTHDC2 ENSG00000047188.11 0.168728 0.065014 ENSG00000047188
NUTM2B ENSG00000188199.6 0.190925 0.069852 ENSG00000188199
SACM1L ENSG00000211456.6 0.148122 0.06417 ENSG00000211456
IRF6 ENSG00000117595.6 0.217605 0.062848 ENSG00000117595
KLHL10 ENSG00000161594.6 0.163011 0.062862 ENSG00000161594
FBN1 ENSG00000166147.9 0.143117 0.059034 ENSG00000166147
POMZP3 ENSG00000146707.10 0.617405 0.059432 ENSG00000146707
DDT ENSG00000099977.9 0.320678 0.071882 ENSG00000099977
C1QTNF7 ENSG00000163145.8 0.158112 0.065351 ENSG00000163145
SEC16A ENSG00000148396.14 0.178495 0.060745 ENSG00000148396
TRIOBP ENSG00000100106.15 0.172627 0.066857 ENSG00000100106
LGALS2 ENSG00000100079.5 0.601201 0.068271 ENSG00000100079
SPG20 ENSG00000133104.8 0.152988 0.062613 ENSG00000133104
C1QTNF6 ENSG00000133466.9 0.257476 0.077675 ENSG00000133466
CAT ENSG00000121691.4 0.313264 0.067489 ENSG00000121691
PTPRN2 ENSG00000155093.13 0.244472 0.075077 ENSG00000155093
KCNK17 ENSG00000124780.9 0.189246 0.067606 ENSG00000124780
POLR2E ENSG00000099817.7 0.153747 0.072207 ENSG00000099817
CLCN1 ENSG00000188037.6 0.471376 0.075051 ENSG00000188037
EREG ENSG00000124882.3 0.129563 0.059947 ENSG00000124882
HTRA3 ENSG00000170801.5 0.170733 0.078201 ENSG00000170801
ITIH2 ENSG00000151655.13 0.159977 0.070031 ENSG00000151655
ESYT2 ENSG00000117868.11 0.141004 0.057666 ENSG00000117868
EMR1 ENSG00000174837.10 0.267525 0.083441 ENSG00000174837
CCDC146 ENSG00000135205.10 0.245962 0.070255 ENSG00000135205
ZNF333 ENSG00000160961.7 0.382699 0.074751 ENSG00000160961
SLC26A5 ENSG00000170615.10 0.144535 0.063785 ENSG00000170615
TACR2 ENSG00000075073.10 0.167212 0.067072 ENSG00000075073
SGIP1 ENSG00000118473.17 0.197737 0.062223 ENSG00000118473
TMEM132D ENSG00000151952.10 0.358389 0.09115 ENSG00000151952
WDR19 ENSG00000157796.13 0.10971 0.052661 ENSG00000157796
FLVCR1 ENSG00000162769.8 0.284775 0.06749 ENSG00000162769
HDDC2 ENSG00000111906.12 0.271596 0.066405 ENSG00000111906
H1F0 ENSG00000189060.4 0.243128 0.075998 ENSG00000189060
SDHC ENSG00000143252.9 0.35483 0.072486 ENSG00000143252
PM20D1 ENSG00000162877.8 0.320896 0.066009 ENSG00000162877
SCD5 ENSG00000145284.7 0.126214 0.058097 ENSG00000145284
SELL ENSG00000188404.4 0.173571 0.068372 ENSG00000188404
RASL11A ENSG00000122035.6 0.15326 0.070296 ENSG00000122035
CCDC66 ENSG00000180376.12 0.285831 0.070217 ENSG00000180376
SYNGR1 ENSG00000100321.10 0.210213 0.067054 ENSG00000100321
FAM170B ENSG00000172538.6 0.129486 0.056435 ENSG00000172538
SDCCAG8 ENSG00000054282.11 0.187922 0.060399 ENSG00000054282
CDC42BPA ENSG00000143776.14 0.128138 0.057959 ENSG00000143776
SLC24A3 ENSG00000185052.7 0.134382 0.066175 ENSG00000185052
AP3M1 ENSG00000185009.8 0.138378 0.061193 ENSG00000185009
TUBA3C ENSG00000198033.7 0.145029 0.059176 ENSG00000198033
ECHDC2 ENSG00000121310.12 0.13002 0.058275 ENSG00000121310
FAAH ENSG00000117480.11 0.161878 0.060945 ENSG00000117480
NPTXR ENSG00000221890.2 0.272572 0.071714 ENSG00000221890
CEP78 ENSG00000148019.8 0.174343 0.074846 ENSG00000148019
TMED1 ENSG00000099203.2 0.131735 0.064405 ENSG00000099203
RPS6KA4 ENSG00000162302.8 0.205078 0.073789 ENSG00000162302
C3orf49 ENSG00000163632.8 0.146569 0.069478 ENSG00000163632
RNF166 ENSG00000158717.6 0.269529 0.079745 ENSG00000158717
ICAM4 ENSG00000105371.8 0.345348 0.078319 ENSG00000105371
CD55 ENSG00000196352.9 0.172859 0.057052 ENSG00000196352
PCP2 ENSG00000174788.5 0.351523 0.074634 ENSG00000174788
SIRPD ENSG00000125900.8 0.186299 0.078216 ENSG00000125900
HS2ST1 ENSG00000153936.12 0.154554 0.073239 ENSG00000153936
KRTAP4-6 ENSG00000198090.3 0.12559 0.054371 ENSG00000198090
EFCAB13 ENSG00000178852.11 0.141859 0.058783 ENSG00000178852
CLEC18C ENSG00000157335.15 0.327374 0.078103 ENSG00000157335
CCR3 ENSG00000183625.10 0.204309 0.067315 ENSG00000183625
GSAP ENSG00000186088.11 0.114329 0.053012 ENSG00000186088
THRSP ENSG00000151365.2 0.1444 0.063273 ENSG00000151365
SCN9A ENSG00000169432.10 0.213753 0.065267 ENSG00000169432
NUP43 ENSG00000120253.9 0.150588 0.051839 ENSG00000120253
SEC22A ENSG00000121542.7 0.120074 0.057871 ENSG00000121542
ARHGEF35 ENSG00000213214.3 0.190507 0.065909 ENSG00000213214
SULT1A1 ENSG00000196502.7 0.167545 0.066386 ENSG00000196502
FARP1 ENSG00000152767.11 0.15998 0.066301 ENSG00000152767
ITGA9 ENSG00000144668.7 0.138417 0.057459 ENSG00000144668
CLN6 ENSG00000128973.7 0.208702 0.067764 ENSG00000128973
AK5 ENSG00000154027.14 0.160839 0.073886 ENSG00000154027
CFB ENSG00000243649.4 0.154849 0.071566 ENSG00000243649
TPM2 ENSG00000198467.9 0.203275 0.064866 ENSG00000198467
SCML4 ENSG00000146285.9 0.161085 0.064945 ENSG00000146285
TOP1MT ENSG00000184428.8 0.156945 0.075116 ENSG00000184428
LURAP1 ENSG00000171357.5 0.138311 0.061192 ENSG00000171357
CMTM7 ENSG00000153551.9 0.156193 0.075842 ENSG00000153551
ABTB2 ENSG00000166016.4 0.204728 0.067636 ENSG00000166016
LRFN2 ENSG00000156564.8 0.145763 0.060796 ENSG00000156564
KRT72 ENSG00000170486.6 0.521808 0.068991 ENSG00000170486
TK2 ENSG00000166548.11 0.199992 0.063347 ENSG00000166548
CHIT1 ENSG00000133063.11 0.20543 0.071798 ENSG00000133063
HSD17B12 ENSG00000149084.7 0.445736 0.064845 ENSG00000149084
MILR1 ENSG00000271605.1 0.295527 0.073809 ENSG00000271605
AMH ENSG00000104899.3 0.163017 0.074515 ENSG00000104899
SHROOM1 ENSG00000164403.10 0.140523 0.065085 ENSG00000164403
SNX1 ENSG00000028528.10 0.138448 0.059562 ENSG00000028528
ARHGEF7 ENSG00000102606.13 0.292161 0.071868 ENSG00000102606
ZNF132 ENSG00000131849.10 0.272896 0.0723 ENSG00000131849
TMEM45B ENSG00000151715.3 0.301358 0.07769 ENSG00000151715
STX2 ENSG00000111450.9 0.454739 0.068408 ENSG00000111450
SCHIP1 ENSG00000151967.14 0.133721 0.06673 ENSG00000151967
ANTXRL ENSG00000198250.8 0.119627 0.057828 ENSG00000198250
RPS6KB1 ENSG00000108443.9 0.153574 0.071464 ENSG00000108443
TRAF3IP3 ENSG00000009790.10 0.299797 0.071279 ENSG00000009790
RRP1B ENSG00000160208.11 0.15441 0.057403 ENSG00000160208
PPP2R5A ENSG00000066027.6 0.279472 0.071099 ENSG00000066027
GJA3 ENSG00000121743.3 0.145078 0.068338 ENSG00000121743
LAP3 ENSG00000002549.8 0.165662 0.057116 ENSG00000002549
DISC1 ENSG00000162946.16 0.167806 0.06667 ENSG00000162946
MAPK8IP1 ENSG00000121653.7 0.181837 0.070493 ENSG00000121653
FBLL1 ENSG00000188573.7 0.19615 0.062923 ENSG00000188573
PRMT5 ENSG00000100462.11 0.268477 0.070396 ENSG00000100462
C2orf27A ENSG00000197927.8 0.271685 0.070837 ENSG00000197927
HSD3B7 ENSG00000099377.9 0.113442 0.052882 ENSG00000099377
MON1B ENSG00000103111.10 0.132176 0.062348 ENSG00000103111
KCNC4 ENSG00000116396.9 0.174376 0.066553 ENSG00000116396
CD164 ENSG00000135535.10 0.159516 0.063481 ENSG00000135535
PROZ ENSG00000126231.9 0.231073 0.070472 ENSG00000126231
GPX7 ENSG00000116157.5 0.425594 0.074712 ENSG00000116157
LAMC1 ENSG00000135862.5 0.122874 0.051706 ENSG00000135862
AP1M2 ENSG00000129354.7 0.354432 0.0727 ENSG00000129354
CSN1S1 ENSG00000126545.9 0.137196 0.054195 ENSG00000126545
IRAK1BP1 ENSG00000146243.9 0.166391 0.064616 ENSG00000146243
TCTEX1D1 ENSG00000152760.5 0.280349 0.066613 ENSG00000152760
ALCAM ENSG00000170017.8 0.320545 0.073934 ENSG00000170017
ACTA2 ENSG00000107796.8 0.283275 0.072772 ENSG00000107796
TRABD ENSG00000170638.5 0.171709 0.071231 ENSG00000170638
SLC18B1 ENSG00000146409.6 0.252999 0.065511 ENSG00000146409
NARFL ENSG00000103245.9 0.305871 0.084035 ENSG00000103245
ZNF83 ENSG00000167766.13 0.543847 0.074426 ENSG00000167766
AP4M1 ENSG00000221838.5 0.271878 0.074484 ENSG00000221838
CC2D1B ENSG00000154222.10 0.326505 0.071579 ENSG00000154222
PFKP ENSG00000067057.11 0.218544 0.079356 ENSG00000067057
TRDMT1 ENSG00000107614.17 0.169891 0.070193 ENSG00000107614
AL161915.1 ENSG00000212670.1 0.272758 0.076386 ENSG00000212670
HPD ENSG00000158104.7 0.11798 0.055771 ENSG00000158104
CDC16 ENSG00000130177.10 0.421523 0.071847 ENSG00000130177
PRDX6 ENSG00000117592.8 0.221066 0.073337 ENSG00000117592
AGAP3 ENSG00000133612.14 0.142402 0.070207 ENSG00000133612
NUCB1 ENSG00000104805.11 0.210201 0.07062 ENSG00000104805
DTX2 ENSG00000091073.15 0.155562 0.057266 ENSG00000091073
CPSF1 ENSG00000071894.10 0.621995 0.057002 ENSG00000071894
HP ENSG00000257017.4 0.157254 0.063041 ENSG00000257017
MANEA ENSG00000172469.10 0.218472 0.064634 ENSG00000172469
TESK2 ENSG00000070759.12 0.158359 0.065965 ENSG00000070759
GGACT ENSG00000134864.6 0.131837 0.063462 ENSG00000134864
GAD1 ENSG00000128683.9 0.141704 0.067496 ENSG00000128683
ALDH8A1 ENSG00000118514.9 0.199972 0.064993 ENSG00000118514
FAM20A ENSG00000108950.7 0.170044 0.063466 ENSG00000108950
SLC45A4 ENSG00000022567.5 0.169084 0.066565 ENSG00000022567
TCP11L1 ENSG00000176148.11 0.321776 0.074428 ENSG00000176148
KRT37 ENSG00000108417.3 0.15006 0.072238 ENSG00000108417
RYBP ENSG00000163602.8 0.199597 0.071752 ENSG00000163602
SPINK8 ENSG00000229453.1 0.124693 0.060136 ENSG00000229453
TMEM63A ENSG00000196187.7 0.161411 0.07078 ENSG00000196187
STIM2 ENSG00000109689.10 0.182078 0.068231 ENSG00000109689
CCBL2 ENSG00000137944.12 0.123932 0.054856 ENSG00000137944
DHRS9 ENSG00000073737.12 0.144882 0.067234 ENSG00000073737
AC093726.6 ENSG00000214106.3 0.136014 0.064902 ENSG00000214106
C21orf2 ENSG00000160226.11 0.170223 0.076878 ENSG00000160226
THBD ENSG00000178726.6 0.136617 0.066824 ENSG00000178726
