type dis tis obsOverlap meanOverlap lCI uCI empPval
Tissue-Wide ALL SkinSunExposed(Lowerleg) 536 549.8 515.475 575.525 0.82
Tissue-Specific BD HeartLeftVentricle 3 5.92 2 11.05 0.84
Tissue-Wide T1D Lung 2 5.21 2 9.52499999999999 0.84
Tissue-Specific CD AdiposeSubcutaneous 2 4.43 1 9 0.86
Tissue-Wide T1D Thyroid 4 7.72 3 13 0.86
Tissue-Specific CD CrossTissue 54 63.86 50.475 78.525 0.87
Tissue-Wide CD Thyroid 23 29.49 21.475 41 0.87
Tissue-Wide T1D SkinSunExposed(Lowerleg) 3 6.41 2.475 11 0.88
Tissue-Specific T1D NerveTibial 0 2.05 0 5 0.9
Tissue-Specific T1D CrossTissue 10 15.79 9 21 0.93
Tissue-Wide T1D CrossTissue 10 16.04 10 23.05 0.93
Tissue-Wide CD CrossTissue 54 64.53 50.475 76.05 0.93
Tissue-Wide CD AdiposeSubcutaneous 18 25.84 17.475 35 0.93
Tissue-Specific CAD Lung 0 2.74 0 6 0.94
Tissue-Wide BD AdiposeSubcutaneous 14 21.57 13 28.525 0.94
Tissue-Wide CAD SkinSunExposed(Lowerleg) 8 14.33 7.475 22 0.94
Tissue-Specific T1D MuscleSkeletal 0 2.47 0 5 0.95
Tissue-Specific CD NerveTibial 3 8.89 3 15 0.96
Tissue-Wide ALL CrossTissue 1289 1343.19 1286.475 1391.525 0.96
Tissue-Wide ALL AdiposeSubcutaneous 491 515.96 490.475 550 0.96
Tissue-Wide CAD CrossTissue 24 35.25 25.475 44 0.98
Tissue-Wide T1D NerveTibial 3 8.08 4 13.525 0.98
Tissue-Specific CAD CrossTissue 24 35.51 26.95 45.525 0.99
Tissue-Specific ALL CrossTissue 1289 1345.67 1304.95 1395.15 1
Tissue-Wide CAD Lung 4 11.5 5.475 18.525 1
Tissue-Wide CAD NerveTibial 9 17.02 11 25.525 1
Tissue-Wide CD ArteryTibial 14 26.82 19 38.525 1
