AssociatedGeneName EnsemblGeneID h2.SkinSunExposedLowerleg se.SkinSunExposedLowerleg ensid
OSGEP ENSG00000092094.6 0.157269 0.077514 ENSG00000092094
ZNF707 ENSG00000181135.11 0.140188 0.066659 ENSG00000181135
IL2RB ENSG00000100385.9 0.234955 0.093534 ENSG00000100385
SLC2A6 ENSG00000160326.9 0.165402 0.078792 ENSG00000160326
CDH24 ENSG00000139880.15 0.159036 0.077871 ENSG00000139880
TSKS ENSG00000126467.6 0.288978 0.085716 ENSG00000126467
SLC5A9 ENSG00000117834.8 0.171532 0.063399 ENSG00000117834
NEDD9 ENSG00000111859.12 0.17676 0.083536 ENSG00000111859
GNAQ ENSG00000156052.6 0.197543 0.078097 ENSG00000156052
FCGR3B ENSG00000162747.5 0.318856 0.087872 ENSG00000162747
ZNRD1 ENSG00000066379.10 0.153675 0.076741 ENSG00000066379
ACTR3 ENSG00000115091.7 0.167704 0.064643 ENSG00000115091
FRA10AC1 ENSG00000148690.10 0.141367 0.063278 ENSG00000148690
CACHD1 ENSG00000158966.9 0.193169 0.078818 ENSG00000158966
NELL1 ENSG00000165973.13 0.549 0.078532 ENSG00000165973
PLCG2 ENSG00000197943.5 0.195131 0.089438 ENSG00000197943
UMPS ENSG00000114491.9 0.125087 0.062333 ENSG00000114491
MEGF10 ENSG00000145794.12 0.189141 0.080593 ENSG00000145794
TOR4A ENSG00000198113.2 0.133092 0.066095 ENSG00000198113
GPR111 ENSG00000164393.4 0.173109 0.064231 ENSG00000164393
ZNF417 ENSG00000173480.6 0.164741 0.072901 ENSG00000173480
WNT9A ENSG00000143816.6 0.180017 0.075279 ENSG00000143816
CROT ENSG00000005469.7 0.150346 0.060703 ENSG00000005469
MTX2 ENSG00000128654.9 0.16245 0.072532 ENSG00000128654
AIRE ENSG00000160224.12 0.137226 0.06805 ENSG00000160224
ITGB6 ENSG00000115221.6 0.125111 0.060713 ENSG00000115221
ATG10 ENSG00000152348.11 0.143808 0.059821 ENSG00000152348
ZNF699 ENSG00000196110.3 0.156474 0.078147 ENSG00000196110
SLC6A4 ENSG00000108576.5 0.187163 0.066963 ENSG00000108576
P2RX2 ENSG00000187848.8 0.112973 0.052141 ENSG00000187848
METTL2B ENSG00000165055.10 0.167965 0.072033 ENSG00000165055
CX3CR1 ENSG00000168329.9 0.157704 0.061763 ENSG00000168329
NUP85 ENSG00000125450.6 0.13012 0.057202 ENSG00000125450
CYP4F3 ENSG00000186529.9 0.132679 0.064088 ENSG00000186529
GUCY2C ENSG00000070019.3 0.282568 0.073225 ENSG00000070019
IL1RN ENSG00000136689.14 0.162799 0.064582 ENSG00000136689
BAI1 ENSG00000181790.6 0.276352 0.082744 ENSG00000181790
FAM101A ENSG00000178882.8 0.122475 0.058901 ENSG00000178882
SLC25A24 ENSG00000085491.11 0.25592 0.075063 ENSG00000085491
RNF14 ENSG00000013561.13 0.167325 0.073756 ENSG00000013561
SCGB2A1 ENSG00000124939.4 0.165105 0.069952 ENSG00000124939
HSD17B13 ENSG00000170509.7 0.247535 0.075712 ENSG00000170509
DGKD ENSG00000077044.5 0.119806 0.058018 ENSG00000077044
TAPT1 ENSG00000169762.12 0.166354 0.073829 ENSG00000169762
NR2E1 ENSG00000112333.7 0.145976 0.070997 ENSG00000112333
SLC25A41 ENSG00000181240.9 0.458725 0.078599 ENSG00000181240
NARF ENSG00000141562.12 0.153616 0.074624 ENSG00000141562
CERKL ENSG00000188452.9 0.119474 0.058347 ENSG00000188452
PAN3 ENSG00000152520.9 0.130897 0.064868 ENSG00000152520
ZNF746 ENSG00000181220.11 0.241794 0.079126 ENSG00000181220
CLEC18A ENSG00000157322.12 0.159933 0.072856 ENSG00000157322
OAF ENSG00000184232.4 0.160085 0.077929 ENSG00000184232
PKHD1 ENSG00000170927.10 0.168893 0.064261 ENSG00000170927
NPIPB7 ENSG00000233232.2 0.143399 0.065079 ENSG00000233232
SLC44A2 ENSG00000129353.10 0.146928 0.066581 ENSG00000129353
ZNF7 ENSG00000147789.11 0.238288 0.084656 ENSG00000147789
SMDT1 ENSG00000183172.7 0.297339 0.080404 ENSG00000183172
NDRG2 ENSG00000165795.16 0.167605 0.075102 ENSG00000165795
PPDPF ENSG00000125534.5 0.20164 0.082918 ENSG00000125534
FAM153B ENSG00000182230.7 0.587639 0.070103 ENSG00000182230
ARL4D ENSG00000175906.4 0.145265 0.062997 ENSG00000175906
CNTN1 ENSG00000018236.10 0.668398 0.056524 ENSG00000018236
VSTM4 ENSG00000165633.7 0.129085 0.061787 ENSG00000165633
DMRTA1 ENSG00000176399.2 0.312512 0.084081 ENSG00000176399
SHOC2 ENSG00000108061.7 0.129059 0.062745 ENSG00000108061
MOB4 ENSG00000115540.10 0.204004 0.07692 ENSG00000115540
GSTA3 ENSG00000174156.8 0.152414 0.072388 ENSG00000174156
KIAA0930 ENSG00000100364.13 0.275073 0.087581 ENSG00000100364
TRIM41 ENSG00000146063.14 0.134544 0.063435 ENSG00000146063
MPP2 ENSG00000108852.10 0.445889 0.073514 ENSG00000108852
MUT ENSG00000146085.7 0.19074 0.072519 ENSG00000146085
IMPDH1 ENSG00000106348.12 0.243196 0.081908 ENSG00000106348
GRAMD4 ENSG00000075240.12 0.222715 0.086409 ENSG00000075240
SPIRE2 ENSG00000204991.6 0.157646 0.061893 ENSG00000204991
SLURP1 ENSG00000126233.1 0.136198 0.059 ENSG00000126233
OBSCN ENSG00000154358.15 0.34976 0.080399 ENSG00000154358
CUL2 ENSG00000108094.10 0.119635 0.059313 ENSG00000108094
PMS1 ENSG00000064933.12 0.194006 0.078943 ENSG00000064933
EPB41L4A ENSG00000129595.8 0.18938 0.06611 ENSG00000129595
UGT3A2 ENSG00000168671.5 0.128157 0.063291 ENSG00000168671
MGAM ENSG00000257335.4 0.156949 0.075808 ENSG00000257335
TCN2 ENSG00000185339.4 0.118842 0.058973 ENSG00000185339
CMIP ENSG00000153815.12 0.221662 0.093269 ENSG00000153815
AK4 ENSG00000162433.10 0.190522 0.073096 ENSG00000162433
ERGIC2 ENSG00000087502.13 0.128478 0.063434 ENSG00000087502
COL22A1 ENSG00000169436.12 0.36742 0.088267 ENSG00000169436
FUK ENSG00000157353.12 0.181325 0.068715 ENSG00000157353
NAPEPLD ENSG00000161048.7 0.128343 0.057769 ENSG00000161048
PDHX ENSG00000110435.7 0.164224 0.068414 ENSG00000110435
SLC35E4 ENSG00000100036.11 0.297657 0.089776 ENSG00000100036
TEN1 ENSG00000257949.2 0.200982 0.085028 ENSG00000257949
DAGLA ENSG00000134780.5 0.164105 0.073505 ENSG00000134780
AKR1C3 ENSG00000196139.7 0.159559 0.077615 ENSG00000196139
CERS4 ENSG00000090661.7 0.189421 0.080359 ENSG00000090661
UBE2B ENSG00000119048.3 0.173235 0.073203 ENSG00000119048
LYNX1 ENSG00000180155.14 0.152812 0.064674 ENSG00000180155
CBLN1 ENSG00000102924.7 0.151021 0.073313 ENSG00000102924
LDB3 ENSG00000122367.15 0.173809 0.068557 ENSG00000122367
VWDE ENSG00000146530.7 0.123588 0.060935 ENSG00000146530
ALG11 ENSG00000253710.1 0.117733 0.057997 ENSG00000253710
ASB4 ENSG00000005981.8 0.130209 0.06473 ENSG00000005981
SLC43A1 ENSG00000149150.4 0.173492 0.068702 ENSG00000149150
CCDC92 ENSG00000119242.4 0.166829 0.079402 ENSG00000119242
ZNF365 ENSG00000138311.11 0.171216 0.072993 ENSG00000138311
CSGALNACT2 ENSG00000169826.6 0.121095 0.059552 ENSG00000169826
WFS1 ENSG00000109501.9 0.257395 0.084513 ENSG00000109501
MAT1A ENSG00000151224.8 0.160742 0.06353 ENSG00000151224
DDX58 ENSG00000107201.5 0.187773 0.07048 ENSG00000107201
MZT2A ENSG00000173272.9 0.162555 0.066185 ENSG00000173272
ETV4 ENSG00000175832.8 0.155146 0.061189 ENSG00000175832
RHNO1 ENSG00000171792.6 0.168751 0.076864 ENSG00000171792
IRF3 ENSG00000126456.11 0.14225 0.067105 ENSG00000126456
BNIP1 ENSG00000113734.13 0.162668 0.075407 ENSG00000113734
PTPLAD2 ENSG00000188921.11 0.298012 0.074283 ENSG00000188921
CUX1 ENSG00000257923.5 0.121969 0.058802 ENSG00000257923
ZNF432 ENSG00000256087.2 0.180483 0.071528 ENSG00000256087
YPEL5 ENSG00000119801.8 0.174495 0.075772 ENSG00000119801
GLO1 ENSG00000124767.6 0.27903 0.078724 ENSG00000124767
POFUT1 ENSG00000101346.6 0.167442 0.083644 ENSG00000101346
SH2B1 ENSG00000178188.10 0.108173 0.052478 ENSG00000178188
FAM184A ENSG00000111879.14 0.148099 0.06684 ENSG00000111879
UNC79 ENSG00000133958.9 0.160938 0.068688 ENSG00000133958
TGDS ENSG00000088451.6 0.161455 0.070379 ENSG00000088451
RGCC ENSG00000102760.12 0.12977 0.05929 ENSG00000102760
ZNF285 ENSG00000267508.1 0.122744 0.059344 ENSG00000267508
HES6 ENSG00000144485.6 0.22608 0.096898 ENSG00000144485
MRFAP1L1 ENSG00000178988.10 0.167534 0.078086 ENSG00000178988
IL1R2 ENSG00000115590.9 0.293622 0.074223 ENSG00000115590
LMOD1 ENSG00000163431.11 0.158886 0.074716 ENSG00000163431
DHX8 ENSG00000067596.6 0.256362 0.087882 ENSG00000067596
PFKM ENSG00000152556.11 0.25597 0.078581 ENSG00000152556
HHATL ENSG00000010282.10 0.148971 0.072604 ENSG00000010282
CRYZ ENSG00000116791.9 0.293077 0.07398 ENSG00000116791
TSPAN17 ENSG00000048140.13 0.273014 0.076532 ENSG00000048140
SLC35F5 ENSG00000115084.8 0.151713 0.061325 ENSG00000115084
TMEM61 ENSG00000143001.4 0.297657 0.084027 ENSG00000143001
PTPRK ENSG00000152894.10 0.152546 0.072017 ENSG00000152894
FADS6 ENSG00000172782.7 0.244947 0.088755 ENSG00000172782
GRIK2 ENSG00000164418.15 0.177309 0.078798 ENSG00000164418
PTER ENSG00000165983.10 0.3608 0.077663 ENSG00000165983
GPR115 ENSG00000153294.7 0.14507 0.057489 ENSG00000153294
RAB10 ENSG00000084733.6 0.126337 0.062361 ENSG00000084733
GPR150 ENSG00000178015.4 0.151504 0.070602 ENSG00000178015
ZNHIT3 ENSG00000108278.7 0.158616 0.078832 ENSG00000108278
BBC3 ENSG00000105327.11 0.138843 0.0649 ENSG00000105327
TAB2 ENSG00000055208.13 0.173445 0.076806 ENSG00000055208
PGM2 ENSG00000169299.9 0.148838 0.066971 ENSG00000169299
TBC1D23 ENSG00000036054.8 0.115042 0.055369 ENSG00000036054
KCNJ11 ENSG00000187486.5 0.200196 0.070364 ENSG00000187486
ZNF480 ENSG00000198464.9 0.184975 0.076915 ENSG00000198464
SAMD8 ENSG00000156671.7 0.193275 0.080758 ENSG00000156671
C20orf141 ENSG00000258713.2 0.176206 0.079955 ENSG00000258713
SLC44A5 ENSG00000137968.12 0.530752 0.06913 ENSG00000137968
MARCO ENSG00000019169.9 0.162493 0.069756 ENSG00000019169
CASP8 ENSG00000064012.17 0.151771 0.068607 ENSG00000064012
FAM187B ENSG00000177558.3 0.199636 0.09363 ENSG00000177558
CYP2W1 ENSG00000073067.9 0.231507 0.080691 ENSG00000073067
SH3GL1 ENSG00000141985.5 0.158754 0.075347 ENSG00000141985
SPATA6L ENSG00000106686.12 0.357181 0.082834 ENSG00000106686
TIMM13 ENSG00000099800.3 0.210749 0.076559 ENSG00000099800
FBXO31 ENSG00000103264.11 0.161184 0.079828 ENSG00000103264
GPR63 ENSG00000112218.7 0.291899 0.072157 ENSG00000112218
SYT13 ENSG00000019505.3 0.276558 0.073072 ENSG00000019505
GLCE ENSG00000138604.5 0.12581 0.061213 ENSG00000138604
CDC5L ENSG00000096401.7 0.220615 0.087663 ENSG00000096401
DHRS4L2 ENSG00000187630.10 0.113115 0.054283 ENSG00000187630
OXR1 ENSG00000164830.13 0.178194 0.071812 ENSG00000164830
NUP50 ENSG00000093000.13 0.339079 0.092602 ENSG00000093000
GYPC ENSG00000136732.10 0.170616 0.074391 ENSG00000136732
HOXA3 ENSG00000105997.17 0.151259 0.070206 ENSG00000105997
CCDC163P ENSG00000236624.4 0.17405 0.071789 ENSG00000236624
PRRG2 ENSG00000126460.6 0.241413 0.078115 ENSG00000126460
ZCCHC11 ENSG00000134744.9 0.144551 0.062444 ENSG00000134744
DISP2 ENSG00000140323.4 0.445231 0.081853 ENSG00000140323
ZNF385B ENSG00000144331.14 0.137771 0.064034 ENSG00000144331
ZC3H3 ENSG00000014164.6 0.163165 0.067218 ENSG00000014164
REV1 ENSG00000135945.5 0.161382 0.068895 ENSG00000135945
TMEM237 ENSG00000155755.14 0.142719 0.065764 ENSG00000155755
ZNRF3 ENSG00000183579.11 0.13723 0.064441 ENSG00000183579
CD59 ENSG00000085063.10 0.141528 0.065132 ENSG00000085063
FMO1 ENSG00000010932.11 0.199336 0.075456 ENSG00000010932
MAPK15 ENSG00000181085.10 0.142543 0.068247 ENSG00000181085
CRYBB3 ENSG00000100053.5 0.226763 0.078846 ENSG00000100053
ORMDL1 ENSG00000128699.9 0.289401 0.077782 ENSG00000128699
MROH6 ENSG00000204839.4 0.150134 0.066455 ENSG00000204839
NHSL1 ENSG00000135540.7 0.142306 0.070472 ENSG00000135540
TOM1 ENSG00000100284.15 0.148766 0.064227 ENSG00000100284
GNG4 ENSG00000168243.6 0.179402 0.082596 ENSG00000168243
KAT8 ENSG00000103510.15 0.15034 0.070673 ENSG00000103510
DEF8 ENSG00000140995.12 0.150095 0.066082 ENSG00000140995
SLC7A5 ENSG00000103257.4 0.211849 0.072293 ENSG00000103257
PCSK4 ENSG00000115257.11 0.173745 0.076373 ENSG00000115257
CARD10 ENSG00000100065.10 0.356945 0.087898 ENSG00000100065
CSTB ENSG00000160213.5 0.149542 0.068326 ENSG00000160213
BTBD10 ENSG00000148925.6 0.132698 0.065295 ENSG00000148925
AL359712.1 ENSG00000272260.1 0.14345 0.059024 ENSG00000272260
SLC23A1 ENSG00000170482.12 0.221253 0.074069 ENSG00000170482
FLJ30594 ENSG00000272268.1 0.131169 0.065461 ENSG00000272268
CDK3 ENSG00000250506.2 0.132153 0.063619 ENSG00000250506
AL603965.1 ENSG00000215033.3 0.159355 0.064986 ENSG00000215033
MEF2B ENSG00000213999.11 0.151845 0.069534 ENSG00000213999
BMPR2 ENSG00000204217.8 0.137516 0.063809 ENSG00000204217
TBKBP1 ENSG00000198933.5 0.129422 0.057959 ENSG00000198933
PRMT6 ENSG00000198890.6 0.271127 0.073256 ENSG00000198890
MAN1A2 ENSG00000198162.8 0.161623 0.073785 ENSG00000198162
GPAA1 ENSG00000197858.6 0.147612 0.065341 ENSG00000197858
SLC30A10 ENSG00000196660.6 0.169413 0.068699 ENSG00000196660
DPYD ENSG00000188641.8 0.136721 0.068299 ENSG00000188641
C22orf34 ENSG00000188511.8 0.267197 0.085667 ENSG00000188511
NWD1 ENSG00000188039.9 0.155283 0.075494 ENSG00000188039
CYP4X1 ENSG00000186377.6 0.164786 0.071774 ENSG00000186377
CYP4Z1 ENSG00000186160.4 0.135425 0.064103 ENSG00000186160
KRT73 ENSG00000186049.4 0.213318 0.079872 ENSG00000186049
DBX2 ENSG00000185610.6 0.394828 0.077798 ENSG00000185610
KCNH8 ENSG00000183960.4 0.173271 0.06313 ENSG00000183960
FAM3B ENSG00000183844.12 0.129597 0.057076 ENSG00000183844
PCP4 ENSG00000183036.6 0.223971 0.085844 ENSG00000183036
AMIGO1 ENSG00000181754.6 0.187927 0.070301 ENSG00000181754
ZNF816 ENSG00000180257.8 0.443567 0.08218 ENSG00000180257
DNAJC22 ENSG00000178401.10 0.189351 0.077798 ENSG00000178401
WDR6 ENSG00000178252.12 0.397105 0.091227 ENSG00000178252
TIMM22 ENSG00000177370.3 0.204221 0.088609 ENSG00000177370
MTX3 ENSG00000177034.10 0.187588 0.07342 ENSG00000177034
SFN ENSG00000175793.10 0.193266 0.080519 ENSG00000175793
TMEM217 ENSG00000172738.7 0.214334 0.079987 ENSG00000172738
UGT2B7 ENSG00000171234.9 0.224899 0.075766 ENSG00000171234
PYGO1 ENSG00000171016.7 0.230166 0.078183 ENSG00000171016
FABP6 ENSG00000170231.11 0.169784 0.074442 ENSG00000170231
SF3B5 ENSG00000169976.5 0.269244 0.086702 ENSG00000169976
PYDC1 ENSG00000169900.3 0.154487 0.063666 ENSG00000169900
BMP1 ENSG00000168487.13 0.192574 0.078091 ENSG00000168487
SCN11A ENSG00000168356.7 0.165714 0.060583 ENSG00000168356
C11orf84 ENSG00000168005.4 0.140172 0.065373 ENSG00000168005
ACSF2 ENSG00000167107.8 0.145404 0.070769 ENSG00000167107
SGSM1 ENSG00000167037.14 0.1833 0.073127 ENSG00000167037
AQP7 ENSG00000165269.8 0.150337 0.072685 ENSG00000165269
RASEF ENSG00000165105.9 0.139852 0.057732 ENSG00000165105
RPP25L ENSG00000164967.5 0.149828 0.070636 ENSG00000164967
CDCP1 ENSG00000163814.3 0.302958 0.092026 ENSG00000163814
CADPS ENSG00000163618.13 0.187735 0.073233 ENSG00000163618
MRPS18C ENSG00000163319.6 0.360137 0.082749 ENSG00000163319
KCNJ9 ENSG00000162728.4 0.143497 0.070103 ENSG00000162728
TMEM143 ENSG00000161558.6 0.171102 0.079885 ENSG00000161558
TSPAN33 ENSG00000158457.4 0.154441 0.073969 ENSG00000158457
WDR66 ENSG00000158023.5 0.179257 0.070149 ENSG00000158023
DHRS4 ENSG00000157326.14 0.181388 0.063409 ENSG00000157326
CACNA2D1 ENSG00000153956.11 0.16905 0.076788 ENSG00000153956
PTPRD ENSG00000153707.11 0.206113 0.094766 ENSG00000153707
PELO ENSG00000152684.10 0.171165 0.083016 ENSG00000152684
SUV39H2 ENSG00000152455.11 0.169445 0.080828 ENSG00000152455
PDK1 ENSG00000152256.8 0.152895 0.072241 ENSG00000152256
BICD1 ENSG00000151746.9 0.163455 0.068229 ENSG00000151746
INA ENSG00000148798.5 0.135462 0.06682 ENSG00000148798
FGD2 ENSG00000146192.10 0.202067 0.081102 ENSG00000146192
MLIP ENSG00000146147.10 0.229858 0.07351 ENSG00000146147
TIFA ENSG00000145365.9 0.141345 0.067014 ENSG00000145365
MUC4 ENSG00000145113.17 0.186071 0.089577 ENSG00000145113
MYH15 ENSG00000144821.5 0.162625 0.067852 ENSG00000144821
IL17RD ENSG00000144730.12 0.139711 0.06509 ENSG00000144730
DLX1 ENSG00000144355.10 0.156179 0.067463 ENSG00000144355
ST6GAL2 ENSG00000144057.11 0.114376 0.056741 ENSG00000144057
EPHX1 ENSG00000143819.8 0.126541 0.062144 ENSG00000143819
MLK4 ENSG00000143674.6 0.262962 0.077634 ENSG00000143674
TIPRL ENSG00000143155.8 0.153141 0.06841 ENSG00000143155
TNFRSF11A ENSG00000141655.11 0.239713 0.093736 ENSG00000141655
GCSH ENSG00000140905.5 0.262411 0.081574 ENSG00000140905
SORD ENSG00000140263.9 0.38801 0.081066 ENSG00000140263
SLC24A4 ENSG00000140090.13 0.182698 0.0841 ENSG00000140090
HADH ENSG00000138796.11 0.137529 0.062429 ENSG00000138796
COX17 ENSG00000138495.2 0.150823 0.065522 ENSG00000138495
STAT4 ENSG00000138378.13 0.127145 0.063062 ENSG00000138378
ENTPD1 ENSG00000138185.12 0.2398 0.073682 ENSG00000138185
IL36B ENSG00000136696.6 0.307282 0.084176 ENSG00000136696
NPL ENSG00000135838.9 0.15399 0.064996 ENSG00000135838
CAPN9 ENSG00000135773.8 0.190729 0.073089 ENSG00000135773
AGT ENSG00000135744.7 0.492629 0.074348 ENSG00000135744
KLHL36 ENSG00000135686.8 0.302306 0.098525 ENSG00000135686
PKIB ENSG00000135549.9 0.148887 0.074269 ENSG00000135549
KCTD1 ENSG00000134504.8 0.301424 0.095875 ENSG00000134504
SPINK5 ENSG00000133710.11 0.147542 0.063654 ENSG00000133710
SLC2A11 ENSG00000133460.15 0.249516 0.085129 ENSG00000133460
CNDP2 ENSG00000133313.10 0.17009 0.078853 ENSG00000133313
DCAF15 ENSG00000132017.6 0.150163 0.069682 ENSG00000132017
GINS2 ENSG00000131153.4 0.211965 0.094053 ENSG00000131153
EMC8 ENSG00000131148.4 0.19019 0.092615 ENSG00000131148
