type dis tis obsOverlap meanOverlap lCI uCI empPval
Tissue-Wide T1D SkinSunExposed(Lowerleg) 35 35.43 27 44 0.49
Tissue-Wide RA Thyroid 68 69.21 58.475 81.05 0.49
Tissue-Specific T1D NerveTibial 43 43.52 36 52.525 0.51
Tissue-Specific T2D CrossTissue 101 101.64 88.475 116 0.51
Tissue-Specific RA SkinSunExposed(Lowerleg) 89 89.77 76 100 0.51
Tissue-Wide CD NerveTibial 145 146.11 129.475 162.575 0.52
Tissue-Specific ALL WholeBlood 3880 3886.53 3827.325 3946.1 0.55
Tissue-Wide BD MuscleSkeletal 111 112.99 96.95 128 0.55
Tissue-Wide T2D HeartLeftVentricle 63 63.17 50.475 75.525 0.55
Tissue-Specific HT AdiposeSubcutaneous 16 17.1 11.475 23 0.56
Tissue-Wide T1D CrossTissue 56 57.13 47.475 67.525 0.57
Tissue-Wide BD Thyroid 121 123.5 109.475 140.525 0.58
Tissue-Wide CAD Lung 74 76.27 62.475 88.525 0.58
Tissue-Specific HT Thyroid 18 19.64 14.475 25 0.59
Tissue-Specific T1D ArteryTibial 41 42.41 35 51 0.59
Tissue-Specific BD NerveTibial 144 147.01 128 163 0.63
Tissue-Specific RA Lung 73 74.66 61 85.525 0.63
Tissue-Wide T1D Thyroid 34 36.35 29 47 0.63
Tissue-Wide RA ArteryTibial 64 65.01 50.425 78 0.63
Tissue-Wide BD WholeBlood 100 103.95 86.95 119 0.66
Tissue-Specific T2D MuscleSkeletal 69 72.69 62.475 85 0.67
Tissue-Specific T2D NerveTibial 73 77.18 64.95 90 0.68
Tissue-Wide T1D Lung 32 35.25 26 43.525 0.68
Tissue-Wide CD AdiposeSubcutaneous 131 136.05 118.95 155.525 0.68
Tissue-Wide CD SkinSunExposed(Lowerleg) 138 142.78 124.95 161.575 0.68
Tissue-Specific RA ArteryTibial 77 80.95 70.475 91 0.69
Tissue-Specific RA MuscleSkeletal 73 76.45 65.475 90.05 0.69
Tissue-Wide T2D NerveTibial 61 65.4 52.95 77 0.69
Tissue-Wide RA AdiposeSubcutaneous 61 64.76 54.475 78.05 0.69
Tissue-Wide RA WholeBlood 53 57.1 45 70 0.69
Tissue-Specific HT SkinSunExposed(Lowerleg) 19 21.44 15 28 0.7
Tissue-Specific T1D SkinSunExposed(Lowerleg) 44 47.43 39 54.525 0.7
Tissue-Specific T2D WholeBlood 81 84.43 72 98.525 0.7
Tissue-Specific CD ArteryTibial 165 170.32 150.425 190.525 0.7
Tissue-Specific BD SkinSunExposed(Lowerleg) 157 162.3 146 180.525 0.71
Tissue-Specific CAD Thyroid 89 93.26 80.475 106 0.72
Tissue-Wide CAD AdiposeSubcutaneous 71 74.67 61 87.1 0.72
Tissue-Wide T1D HeartLeftVentricle 31 34.47 25.475 44 0.73
Tissue-Wide T1D WholeBlood 26 29.65 22 39.05 0.73
Tissue-Wide T2D WholeBlood 49 53.22 42 66.05 0.74
Tissue-Wide CD ArteryTibial 132 138.15 123.475 155 0.74
Tissue-Wide ALL AdiposeSubcutaneous 2834 2850.59 2800.9 2915.05 0.74
Tissue-Specific BD Lung 128 134.92 116.475 149.525 0.75
Tissue-Specific CD HeartLeftVentricle 165 170.96 148.475 188.575 0.75
Tissue-Wide ALL HeartLeftVentricle 2894 2910.29 2857.85 2964 0.76
Tissue-Specific BD Thyroid 139 144.86 130.425 158 0.77
Tissue-Specific CD MuscleSkeletal 156 162 145 185 0.77
Tissue-Wide BD ArteryTibial 114 120.13 103.475 135.05 0.77
Tissue-Specific CD CrossTissue 218 226.04 205.95 243.575 0.78
Tissue-Wide BD CrossTissue 186 193.34 176.475 210 0.79
Tissue-Wide ALL Lung 2874 2896.11 2823.55 2960.35 0.8
Tissue-Wide CD CrossTissue 218 226.81 208.475 244 0.81
Tissue-Specific CAD ArteryTibial 85 92.98 78.95 105.05 0.82
Tissue-Specific CAD SkinSunExposed(Lowerleg) 95 102.79 87 114.525 0.82
Tissue-Specific RA CrossTissue 101 106.48 95 118.05 0.82
Tissue-Specific RA HeartLeftVentricle 76 82.34 70.475 95 0.82
Tissue-Wide HT CrossTissue 22 25.58 20 32 0.82
Tissue-Wide RA CrossTissue 101 107.57 94 119 0.82
Tissue-Specific BD CrossTissue 186 194.13 173.425 209 0.83
Tissue-Specific HT CrossTissue 22 25.48 19.475 31 0.85
Tissue-Wide CAD ArteryTibial 71 77.16 64 89.525 0.85
Tissue-Wide HT Lung 11 15.48 9 21.525 0.85
Tissue-Wide CAD WholeBlood 58 66.11 54 78.525 0.87
Tissue-Wide CAD Thyroid 69 79.95 63 93.575 0.88
Tissue-Specific BD AdiposeSubcutaneous 120 131.01 112 145 0.9
Tissue-Specific BD HeartLeftVentricle 135 146.11 129.95 168.625 0.9
Tissue-Specific T2D HeartLeftVentricle 69 77.33 62.95 88 0.9
Tissue-Wide T1D NerveTibial 31 37.58 28.95 46.525 0.9
Tissue-Specific RA Thyroid 71 80.3 67.95 90.525 0.91
Tissue-Specific RA WholeBlood 80 89.25 78 101 0.91
Tissue-Wide BD Lung 107 119 102.475 134.05 0.92
Tissue-Specific CAD HeartLeftVentricle 86 94.66 84 105.525 0.93
Tissue-Wide CD HeartLeftVentricle 129 139.72 124 160.15 0.93
Tissue-Wide T1D AdiposeSubcutaneous 24 34.05 24.475 44 0.97
Tissue-Specific BD WholeBlood 140 159.35 142 178.15 0.98
Tissue-Wide CAD HeartLeftVentricle 64 76.81 65 90 0.98
Tissue-Wide CD Lung 117 137.62 118.475 152.525 0.98
Tissue-Specific T1D MuscleSkeletal 30 40.8 33 48.525 0.99
Tissue-Specific CD Lung 138 156.67 142 174.525 0.99
Tissue-Wide RA SkinSunExposed(Lowerleg) 51 67.77 54 82 0.99
Tissue-Specific T1D Lung 29 39.58 31 47 1
Tissue-Wide T1D MuscleSkeletal 22 33.78 26 42.525 1
