type dis tis obsOverlap meanOverlap lCI uCI empPval
Tissue-Wide BD AdiposeSubcutaneous 27 32.7679 23 44 0.8324
Tissue-Wide CAD Thyroid 20 25.1041 16 35 0.8331
Tissue-Wide CD Thyroid 39 45.5575 34 58 0.8349
Tissue-Wide CD Lung 31 37.1785 27 49 0.8428
Tissue-Wide T1D AdiposeSubcutaneous 6 9.5817 4 16 0.8522
Tissue-Wide T1D MuscleSkeletal 4 7.4167 3 13 0.8728
Tissue-Wide CAD ArteryTibial 17 22.7574 14 32 0.881
Tissue-Wide ALL Thyroid 927 953.0027 911 995 0.8814
Tissue-Specific T1D AdiposeSubcutaneous 1 3.6174 1 8 0.8818
Tissue-Specific CD NerveTibial 20 26.6392 17 37 0.896
Tissue-Specific BD HeartLeftVentricle 23 30.3597 21 41 0.9096
Tissue-Wide CD NerveTibial 43 52.5931 40 66 0.9158
Tissue-Wide CAD Lung 14 20.3757 12 29 0.9207
Tissue-Specific BD Lung 9 14.987 8 23 0.9327
Tissue-Specific CD Lung 11 17.4904 10 26 0.9348
Tissue-Specific T1D CrossTissue 9 14.9938 8 22 0.9476
Tissue-Wide T1D CrossTissue 9 15.0136 8 22 0.9483
Tissue-Specific T1D MuscleSkeletal 0 3.4691 0 7 0.9708
Tissue-Wide CD CrossTissue 46 59.5198 46 73 0.9708
Tissue-Specific CD CrossTissue 46 59.573 46 74 0.9721
Tissue-Wide CAD NerveTibial 19 28.942 20 39 0.9764
Tissue-Wide CAD CrossTissue 22 32.6734 23 43 0.9773
Tissue-Specific CAD CrossTissue 22 32.7501 23 43 0.9786
Tissue-Wide T1D NerveTibial 6 13.2275 7 20 0.983
Tissue-Wide ALL CrossTissue 1177 1242.6218 1197 1290 0.9972
Tissue-Wide CD ArteryTibial 25 41.3713 30 54 0.9975
Tissue-Specific ALL CrossTissue 1177 1242.9858 1196 1289 0.9978
