type dis tis obsOverlap meanOverlap lCI uCI empPval
Tissue-Wide T1D CrossTissue 18 22.09 15 29 0.79
Tissue-Wide BD ArteryTibial 2 4.05 1 7.52499999999999 0.8
Tissue-Wide T2D SkinSunExposed(Lowerleg) 16 18.98 12 27 0.8
Tissue-Wide BD HeartLeftVentricle 2 3.98 1 7.52499999999999 0.82
Tissue-Wide T1D SkinSunExposed(Lowerleg) 11 14.84 9 21 0.82
Tissue-Wide RA Thyroid 26 31.05 22 42.05 0.82
Tissue-Specific T1D NerveTibial 10 15.33 7.475 23 0.84
Tissue-Wide T1D ArteryTibial 12 15.6 8 21.525 0.85
Tissue-Specific T1D Thyroid 10 13.98 8.475 19.525 0.86
Tissue-Wide CAD ArteryTibial 11 15.49 10 22.525 0.86
Tissue-Wide T2D WholeBlood 10 14.04 7.475 21 0.86
Tissue-Specific T1D AdiposeSubcutaneous 7 10.73 6.475 16.525 0.87
Tissue-Specific CAD Thyroid 9 13.64 8.475 20 0.9
Tissue-Wide CAD Lung 10 14.73 8.475 20.525 0.9
Tissue-Wide HT HeartLeftVentricle 2 4.7 1 7.52499999999999 0.9
Tissue-Specific CAD ArteryTibial 8 13.97 7 20.525 0.92
Tissue-Wide CD Lung 52 64.33 50.475 81.05 0.92
Tissue-Wide RA ArteryTibial 23 29.97 18.95 38.525 0.92
Tissue-Wide RA SkinSunExposed(Lowerleg) 22 29.19 21 38.525 0.92
Tissue-Specific RA AdiposeSubcutaneous 14 21.2 14 31 0.93
Tissue-Specific CAD CrossTissue 16 21.86 15 29 0.94
Tissue-Specific CD CrossTissue 81 95.17 79 113.525 0.94
Tissue-Wide CAD CrossTissue 16 22.37 14 29.525 0.94
Tissue-Wide T1D HeartLeftVentricle 11 16.44 10.475 23 0.95
Tissue-Wide CD CrossTissue 81 95.58 79 110.525 0.95
Tissue-Specific CD Lung 38 51.94 38.95 64 0.97
Tissue-Wide CAD Thyroid 10 16.55 10.475 23 0.97
Tissue-Wide T1D MuscleSkeletal 7 12.41 7.475 19 0.97
Tissue-Wide T1D NerveTibial 11 17.79 11.475 26 0.97
Tissue-Wide T1D WholeBlood 5 11.51 5.475 17 0.97
Tissue-Wide CD ArteryTibial 55 68.36 55.95 83 0.97
Tissue-Wide RA CrossTissue 32 42.16 32.475 52.525 0.97
Tissue-Specific RA CrossTissue 32 41.95 33 53.525 0.98
Tissue-Wide T1D AdiposeSubcutaneous 8 14.45 9 21 0.99
